Date,price
2003-08-28,66.1444091796875
2003-08-29,66.59085845947266
2003-09-02,67.48358917236328
2003-09-03,67.85125732421875
2003-09-04,67.88406372070312
2003-09-05,67.50331115722656
2003-09-08,68.06126403808594
2003-09-09,67.61489868164062
2003-09-10,66.9321517944336
2003-09-11,67.12914276123047
2003-09-12,67.25386047363281
2003-09-15,67.01749420166016
2003-09-16,67.99564361572266
2003-09-17,67.8643569946289
2003-09-18,68.66522979736328
2003-09-19,68.31595611572266
2003-09-22,67.57791900634766
2003-09-23,67.83493041992188
2003-09-24,66.62895965576172
2003-09-25,66.08204650878906
2003-09-26,65.86460876464844
2003-09-29,66.5103988647461
2003-09-30,65.86460876464844
2003-10-01,67.2681884765625
2003-10-02,67.51203918457031
2003-10-03,68.13146209716797
2003-10-06,68.44117736816406
2003-10-07,68.70475006103516
2003-10-08,68.53346252441406
2003-10-09,68.71794128417969
2003-10-10,68.9090576171875
2003-10-13,69.12655639648438
2003-10-14,69.37031555175781
2003-10-15,69.1858139038086
2003-10-16,69.46260070800781
2003-10-17,68.70475006103516
2003-10-20,69.21876525878906
2003-10-21,69.10016632080078
2003-10-22,68.23030853271484
2003-10-23,68.10511016845703
2003-10-24,68.25666046142578
2003-10-27,68.28958892822266
2003-10-28,69.21876525878906
2003-10-29,69.31103515625
2003-10-30,69.45600128173828
2003-10-31,69.39010620117188
2003-11-03,69.84477233886719
2003-11-04,69.69325256347656
2003-11-05,69.74595642089844
2003-11-06,70.11498260498047
2003-11-07,69.59434509277344
2003-11-10,69.31103515625
2003-11-11,69.2912826538086
2003-11-12,70.06887817382812
2003-11-13,70.088623046875
2003-11-14,69.49555969238281
2003-11-17,69.14630889892578
2003-11-18,68.42802429199219
2003-11-19,69.00788116455078
2003-11-20,68.3884506225586
2003-11-21,68.67182922363281
2003-11-24,69.5811996459961
2003-11-25,69.84477233886719
2003-11-26,70.09523010253906
2003-11-28,70.1479263305664
2003-12-01,70.90573120117188
2003-12-02,70.72785186767578
2003-12-03,70.6158218383789
2003-12-04,70.90573120117188
2003-12-05,70.41151428222656
2003-12-08,70.885986328125
2003-12-09,70.33903503417969
2003-12-10,70.33244323730469
