time,open,high,low,close,Volume,Volume MA
2009-06-01,564,564,564,564,,
2009-06-02,1238,1238,1238,1238,,
2009-06-03,2177,2177,2177,2177,,
2009-06-04,673,673,673,673,,
2009-06-05,1541,1541,1541,1541,,
2009-06-08,1886,1886,1886,1886,,
2009-06-09,1190,1190,1190,1190,,
2009-06-10,1641,1641,1641,1641,,
2009-06-11,1175,1175,1175,1175,,
2009-06-12,1623,1623,1623,1623,,
2009-06-15,2597,2597,2597,2597,,
2009-06-16,2160,2160,2160,2160,,
2009-06-17,1730,1730,1730,1730,,
2009-06-18,1261,1261,1261,1261,,
2009-06-19,1119,1119,1119,1119,,
2009-06-22,2706,2706,2706,2706,,
2009-06-23,1576,1576,1576,1576,,
2009-06-24,841,841,841,841,,
2009-06-25,569,569,569,569,,
2009-06-26,1172,1172,1172,1172,,
2009-06-29,1168,1168,1168,1168,,
2009-06-30,1689,1689,1689,1689,,
2009-07-01,766,766,766,766,,
2009-07-02,2404,2404,2404,2404,,
2009-07-06,1774,1774,1774,1774,,
2009-07-07,2350,2350,2350,2350,,
2009-07-08,1974,1974,1974,1974,,
2009-07-09,1178,1178,1178,1178,,
2009-07-10,1531,1531,1531,1531,,
2009-07-13,488,488,488,488,,
2009-07-14,885,885,885,885,,
2009-07-15,293,293,293,293,,
2009-07-16,875,875,875,875,,
2009-07-17,1496,1496,1496,1496,,
2009-07-20,703,703,703,703,,
2009-07-21,1382,1382,1382,1382,,
2009-07-22,1296,1296,1296,1296,,
2009-07-23,492,492,492,492,,
2009-07-24,1083,1083,1083,1083,,
2009-07-27,1062,1062,1062,1062,,
2009-07-28,1553,1553,1553,1553,,
2009-07-29,1833,1833,1833,1833,,
2009-07-30,643,643,643,643,,
2009-07-31,1137,1137,1137,1137,,
2009-08-03,526,526,526,526,,
2009-08-04,1164,1164,1164,1164,,
2009-08-05,1639,1639,1639,1639,,
2009-08-06,1875,1875,1875,1875,,
2009-08-07,689,689,689,689,,
2009-08-10,1593,1593,1593,1593,,
2009-08-11,2234,2234,2234,2234,,
2009-08-12,822,822,822,822,,
2009-08-13,1037,1037,1037,1037,,
2009-08-14,2160,2160,2160,2160,,
2009-08-17,2732,2732,2732,2732,,
2009-08-18,611,611,611,611,,
2009-08-19,1142,1142,1142,1142,,
2009-08-20,812,812,812,812,,
2009-08-21,579,579,579,579,,
2009-08-24,1471,1471,1471,1471,,
2009-08-25,1179,1179,1179,1179,,
2009-08-26,1557,1557,1557,1557,,
2009-08-27,1371,1371,1371,1371,,
2009-08-28,1487,1487,1487,1487,,
2009-08-31,2201,2201,2201,2201,,
2009-09-01,2542,2542,2542,2542,,
2009-09-02,1834,1834,1834,1834,,
2009-09-03,686,686,686,686,,
2009-09-04,575,575,575,575,,
2009-09-08,746,746,746,746,,
2009-09-09,839,839,839,839,,
2009-09-10,724,724,724,724,,
2009-09-11,1339,1339,1339,1339,,
