signal_date,future_min_spx_return_126,followed_by_20pct_drop,sell_ndx_return_60_pct,sell_breadth_fall_60_points,sell_breadth_level_pct,full_nearest_peak_zone_date,full_nearest_peak_distance,full_peak_similarity_percentile,causal_nearest_peak_zone_date,causal_nearest_peak_distance,causal_peak_similarity_percentile,resolved_peak_episodes_available
2015-07-13,-0.11049723756906082,False,1.7117653315470438,15.399999999999999,53.93,2007-10-16,0.4514287493461576,0.6534653465346535,2007-10-16,0.42195028128322903,0.8261919130959565,1.0
2015-08-10,-0.11976047904191611,False,1.7368032320068227,12.550000000000004,54.18,2007-10-16,0.418944437940281,0.6826732673267327,2007-10-16,0.3917989002365274,0.852129574085183,1.0
2015-08-14,-0.12546019603155634,False,0.5646682795818148,12.949999999999996,54.38,2007-10-16,0.515717029162383,0.5947194719471948,2007-10-16,0.48819397779966955,0.7729179149191132,1.0
2016-06-21,-0.0423189238355115,False,0.34856198286976614,-13.619999999999997,68.97,2022-01-12,0.628775240212708,0.5013201320132014,2007-10-03,1.0200041963226543,0.3519144144144144,1.0
2016-08-25,-0.040184119677790675,False,5.649470030331405,-6.170000000000002,77.97,2022-01-12,0.33586022595160453,0.7663366336633664,2007-06-04,0.5036167892040179,0.7551417454141189,1.0
2017-01-03,0.002613163256266926,False,0.7675546582627479,4.339999999999996,61.93,2007-10-11,0.46161612722436784,0.6437293729372937,2007-10-11,0.4441524806086186,0.7984811499864388,1.0
2017-05-19,0.0051643783851871294,False,5.985893702049938,9.439999999999998,66.93,2007-10-05,0.06233038615040502,0.9927392739273927,2007-10-05,0.057625537695679956,0.997355896351137,1.0
2017-06-19,-0.01781128999388626,False,7.788405158408551,1.3299999999999983,72.02,2021-12-08,0.18376288682567152,0.9023102310231023,2007-10-09,0.32536023145199816,0.8997895844292477,1.0
2017-08-09,-0.01956345998383191,False,3.767389840967117,1.0499999999999972,68.45,2022-01-11,0.13288376014169637,0.9511551155115512,2007-10-12,0.3936078452864545,0.8436685773840542,1.0
2017-10-17,-0.0008595764632336467,False,3.0504748904713885,0.45000000000000284,71.88,2022-01-12,0.13722736596124216,0.9475247524752475,2007-10-12,0.5032544592348298,0.7467833247555327,1.0
2017-10-24,-0.004631972286014641,False,3.399299018932611,-0.5899999999999892,72.27,2022-01-12,0.08191163117920652,0.9861386138613861,2007-10-12,0.5263916681576879,0.725520431765613,1.0
2018-10-09,-0.1837308613686075,False,0.1863303388194959,-1.4699999999999989,60.79,2022-01-12,0.5465498538605421,0.5706270627062706,2007-10-11,0.7007954144797288,0.5682478218780251,1.0
2019-12-03,-0.2766714082503555,True,5.392216944997696,0.3299999999999983,67.19,2022-01-11,0.1593693896725373,0.9273927392739274,2007-10-03,0.37346990438724503,0.8724270527030084,1.0
2020-01-28,-0.3170746596666869,True,12.468220771460503,-2.969999999999999,73.06,2021-12-30,0.15859314061097152,0.928052805280528,2007-10-31,0.47875884210323033,0.7763571108120233,1.0
2020-02-04,-0.3215065502183405,True,13.885137072460685,2.069999999999993,71.28,2020-02-07,0.16269467953735425,0.9232673267326733,2007-10-31,0.5373885915319753,0.7237284337889313,1.0
2021-03-01,-0.034163719309036944,False,6.644705519645,8.510000000000005,82.97,2021-11-08,0.3876783544913336,0.7174917491749175,2007-07-12,0.4398855645460191,0.7849872773536896,2.0
2021-04-29,-0.03526059598717801,False,3.820417772730922,-6.140000000000001,94.25,2007-06-04,0.7383632536164537,0.4321782178217822,2007-06-04,0.7496177785811444,0.5084068936527953,2.0
2021-07-20,-0.005227730101084904,False,5.6433912135331665,11.480000000000004,84.35,2021-11-08,0.4617439864880659,0.6435643564356436,2007-07-23,0.5289703671209901,0.7064810968009971,2.0
2021-08-25,-0.060206396512610616,False,12.55497235728058,8.909999999999997,81.98,2007-07-13,0.2887529763598913,0.8077557755775577,2007-07-13,0.28326005382036074,0.9247933884297521,2.0
2021-09-10,-0.06457183869376049,False,10.425080150840206,17.42,71.88,2007-07-18,0.1613799058703786,0.9252475247524753,2007-07-18,0.16188397907844856,0.9783549783549783,2.0
2021-09-15,-0.06918561831856629,False,9.664552391097846,13.86,74.25,2007-07-18,0.0604789005722268,0.9933993399339934,2007-07-18,0.06044458585214036,0.9973217964565307,2.0
2023-07-07,-0.06401072983325562,False,15.987846493718072,-3.970000000000006,62.02,2007-10-31,0.2100661811168649,0.8816831683168317,2007-10-31,0.2063532801165695,0.8867888867888868,3.0
2023-08-07,-0.08876293588052508,False,15.433370068393138,-16.699999999999996,64.21,2007-10-29,0.25216987036630595,0.8425742574257425,2007-10-29,0.23762146173791188,0.8599397590361446,3.0
2024-02-09,-0.014610244279942064,False,16.015265982423067,-28.630000000000003,68.98,2007-10-29,0.7939362216601716,0.3995049504950495,2007-10-29,0.7529250601226958,0.424370520124977,3.0
2024-03-19,-0.04079938051678966,False,8.92857142857142,-8.350000000000009,77.73,2022-01-04,0.1654434698273427,0.9202970297029703,2022-01-04,0.1566440484775514,0.9299432961404792,3.0
2024-10-15,-0.14315610995897,False,1.6998547637148587,-3.730000000000004,78.08,2022-01-12,0.3238083370917292,0.7762376237623763,2022-01-12,0.31528270935922775,0.7879543834640057,3.0
2024-12-23,-0.16593377714020752,False,7.469530632297472,24.940000000000005,54.98,2007-10-16,0.6275829296904756,0.5026402640264026,2007-10-16,0.6195567728760849,0.5095406360424029,3.0
2025-08-04,-0.004857865951336082,False,16.713534397323926,-16.900000000000006,57.45,2007-10-29,0.2580701117908002,0.837953795379538,2007-10-29,0.25424985250975723,0.841851660643607,3.0
2026-01-21,-0.0773602962351031,False,0.9131221110066701,-2.3200000000000074,66.53,2022-01-12,0.348627901561363,0.7536303630363036,2022-01-12,0.3485054006311524,0.7516869095816464,3.0
2026-01-28,-0.09090101360985825,False,1.1190290505350475,-11.920000000000002,65.0,2022-01-12,0.5778427747558703,0.5429042904290429,2022-01-12,0.5737894933406478,0.5400303387830777,3.0
