short_window,long_window,ma_window,full_cagr,full_sharpe,full_max_drawdown,full_calmar,train_cagr,train_sharpe,train_max_drawdown,train_calmar,test_cagr,test_sharpe,test_max_drawdown,test_calmar,real_breadth_cagr,real_breadth_sharpe,real_breadth_max_drawdown,real_breadth_calmar,completed_trades,exposure,expectancy,turnover_position_changes_per_year,raw_signal_days,executed_golden_cross_entries,primary_rank,reverse_rank,full_rank
5,10,200,0.18437956877349126,0.9590032061324748,-0.46924811321934357,0.39292554105018973,0.1736830380391996,0.9022667720160994,-0.46924811321934357,0.37013049844275847,0.19543664767410385,1.0178153393788711,-0.22986796654908903,0.8502126268749488,0.18460448297151677,0.9474046404378862,-0.46924811321934357,0.3934048486737888,23,0.8797549967762733,0.2286090681621003,1.9055111555111555,572,12,21,32,39
5,28,150,0.1863412554792494,0.9661594330852844,-0.46924825937654757,0.39710590664060436,0.173555036220308,0.8989025976959588,-0.46924825937654757,0.36985760256393196,0.19941954761531688,1.0356207260827477,-0.2531309171087489,0.7878118954929682,0.18514041754088395,0.9503762385969259,-0.46924825937654757,0.3945468392080242,24,0.8821727917472598,0.22362440095275116,1.9865967365967365,510,14,22,45,14
7,21,150,0.18586518332311197,0.965036546970446,-0.4692482890950195,0.39609133936655777,0.1735290314792739,0.9006575836543458,-0.4692482890950195,0.3698021612693307,0.19850751952062273,1.0314457516922757,-0.2602918636644814,0.7626343625419684,0.18455987424089226,0.9477893634613123,-0.4692482890950195,0.3933096369873395,24,0.8813668600902643,0.22360037273755606,1.9865967365967365,469,14,23,69,20
7,28,150,0.18632847019687393,0.9671355432805364,-0.4692482890950195,0.39707863518527126,0.1735290314792739,0.9006575836543458,-0.4692482890950195,0.3698021612693307,0.19941954457345723,1.035620712922404,-0.2531309186771422,0.7878118785947615,0.18514040396116993,0.9503761822563216,-0.4692482890950195,0.39454678528125714,24,0.880883301096067,0.22360037273755606,1.9865967365967365,457,14,24,46,16
9,14,150,0.1859449478323969,0.9653787247569402,-0.4692482890950195,0.3962613229576301,0.1735290314792739,0.9006575836543458,-0.4692482890950195,0.3698021612693307,0.19866451962435439,1.0321224086627934,-0.260291853976681,0.7632375604122914,0.18465982044352103,0.9482119709038949,-0.4692482890950195,0.393522629138726,24,0.8812056737588653,0.2236975491582227,1.9865967365967365,460,14,25,65,19
9,21,150,0.186408265868091,0.9674777740155149,-0.4692482890950195,0.39724868518453915,0.1735290314792739,0.9006575836543458,-0.4692482890950195,0.3698021612693307,0.19957666414913655,1.0362975819407603,-0.25313090889555645,0.788432613859429,0.18524039914548585,0.9507988692431838,-0.4692482890950195,0.39475988181594834,24,0.880722114764668,0.2236975491582227,1.9865967365967365,430,14,26,41,13
11,21,100,0.18177035944570052,0.9463129912423546,-0.4692491276224875,0.38736429914460146,0.17279835631439422,0.8978744119250457,-0.4692491276224875,0.36824438478958893,0.19116352615512922,0.9968887256567613,-0.2390047528050181,0.7998314841507854,0.17980103986505447,0.9262014996773232,-0.4692491276224875,0.3831675527582547,23,0.8770148291424887,0.22759383030777652,1.9055111555111555,358,14,27,36,75
11,21,150,0.18656216497000422,0.9680189508041374,-0.4692491276224875,0.3975759441796855,0.17279835631439422,0.8978744119250457,-0.4692491276224875,0.36824438478958893,0.20058766785819304,1.0399802486096155,-0.23447147161139392,0.8554885866483625,0.18580488872537138,0.9529426152057584,-0.4692491276224875,0.3959621399122814,23,0.880722114764668,0.2331511947852502,1.9055111555111555,385,13,28,5,12
5,21,100,0.17939175315537303,0.9359730876359954,-0.4692491579120407,0.38229531184156,0.1727720728742641,0.8967912653353428,-0.4692491579120407,0.36818834932603056,0.18652407571495822,0.9776687100958356,-0.26029270847574904,0.7165935488828198,0.17643838133433398,0.9130640569479248,-0.4692491579120407,0.3760014873961837,24,0.8765312701482915,0.21491963969014483,1.9865967365967365,484,15,29,88,80
5,28,100,0.17872909172607843,0.9325933273607133,-0.4692491579120407,0.38088313790768835,0.1727720728742641,0.8967912653353428,-0.4692491579120407,0.36818834932603056,0.18522610317625943,0.9709179245124693,-0.25313193224148145,0.731737404823183,0.17560928893316952,0.9089166680888269,-0.4692491579120407,0.37423463840522636,24,0.8776595744680851,0.21380895890553933,1.9865967365967365,471,15,30,85,86
