Date,baseline,0.50,0.60,0.70,baseline_return,challenger_0.60_return,baseline_position,challenger_0.60_position
2020-06-17,197207.08433964118,105528.93398737849,85832.75333937758,20505.410947622404,0.0033278488989754162,0.0033278488989754162,True,True
2020-06-18,197791.24914477207,105841.53071464533,86087.00624208766,20566.151865883316,0.0029621897564531263,0.0029621897564533484,True,True
2020-06-19,197723.88350441033,105805.48219114245,86057.68590396654,20559.1472486608,-0.0003405895895446376,-0.0003405895895446376,True,True
2020-06-22,200127.90836529573,107091.91762371272,87104.01785292801,20809.115538926966,0.012158495060268226,0.012158495060268004,True,True
2020-06-23,201698.25873255497,107932.23936366678,87787.49986971614,20972.399123389598,0.007846733522007598,0.007846733522007598,True,True
2020-06-24,197606.53690507062,105742.68798891167,86006.6117665943,20546.94565736998,-0.020286351767219934,-0.020286351767219934,True,True
2020-06-25,199564.8817523018,106790.63230997905,86858.96517361664,20750.57255041036,0.009910324212462518,0.009910324212462518,True,True
2020-06-26,194577.2561739656,104121.66728687924,84688.14236850283,20231.963837751162,-0.02499250135866482,-0.0249925013586646,True,True
2020-06-29,196785.9009224822,105303.55142987665,85649.43673857341,20461.616683932087,0.01135099133344708,0.011350991333446858,True,True
2020-06-30,200651.8194451764,107372.27153670283,87332.04581978198,20863.59133034663,0.019645302354344363,0.019645302354344585,True,True
2020-07-01,203069.87058308723,108666.21267358014,88384.48258987717,21115.01805997584,0.012050980372851905,0.012050980372851683,True,True
2020-07-02,204307.34381248866,109328.40607892322,88923.0825839847,21243.68938631549,0.006093829802757966,0.006093829802757966,True,True
2020-07-06,209486.5959924403,112099.91382283768,91177.30928346065,21782.223256469817,0.02535029863980376,0.02535029863980398,True,True
2020-07-07,207905.18264611874,111253.67209075412,90489.01219648255,21617.78935363634,-0.007548995384786483,-0.007548995384786483,True,True
2020-07-08,210724.06922184172,112762.1072281808,91715.90927756821,21910.894582809477,0.013558519993804419,0.013558519993804863,True,True
2020-07-09,212460.364275036,113691.22885007742,92471.61734720597,22091.43294283489,0.008239661751056948,0.008239661751056726,True,True
2020-07-10,214075.16411174217,114555.33627269468,93174.44562815026,22259.33834218041,0.007600475703862353,0.007600475703862353,True,True
2020-07-13,209450.04865089507,112080.35670598128,91161.40235515447,21778.42309756611,-0.02160510061985932,-0.02160510061985932,True,True
2020-07-14,211174.88561863196,113003.34690745808,91912.1233878098,21957.770056421716,0.008235075517274204,0.008235075517274426,True,True
2020-07-15,211415.11030684272,113131.89530798445,92016.67919764931,21982.748398188804,0.00113756277176158,0.001137562771761358,True,True
2020-07-16,209929.11515493377,112336.71350801784,91369.91209105976,21828.23599130392,-0.007028802954302638,-0.007028802954302638,True,True
2020-07-17,210299.7249535221,112535.03324435624,91531.21694242403,21866.771656727484,0.0017654044714798811,0.0017654044714798811,True,True
2020-07-20,216361.84237328774,115778.97750303413,94169.70343973946,22497.105041155744,0.028826083444024597,0.028826083444024597,True,True
2020-07-21,214010.76176934352,114520.87346136932,93146.41504097288,22252.641845950086,-0.010866429025354285,-0.010866429025354174,True,True
2020-07-22,214755.1422176808,114919.20436036884,93470.40047804141,22330.041839188885,0.003478238394102773,0.003478238394102773,True,True
2020-07-23,209022.93863780986,111851.80272412437,90975.50625246283,21734.01259189141,-0.02669181059264536,-0.02669181059264525,True,True
2020-07-24,207097.58517456808,110821.5126653003,90137.51207261413,21533.816112564095,-0.009211206558424556,-0.009211206558424778,True,True
2020-07-27,210875.79007755374,112843.29569167111,91781.94452588788,21926.670377609735,0.018243597093616115,0.018243597093616337,True,True
2020-07-28,208072.90531083164,111343.4234000032,90562.01209989846,21635.229001794443,-0.013291638483921231,-0.013291638483921342,True,True
2020-07-29,210650.5794323562,112722.78156617765,91683.92345416333,21903.253182203094,0.01238832186090666,0.01238832186090666,True,True
2020-07-30,211688.32637904296,113278.09797075417,92135.59423466252,22011.157153668966,0.00492639018360741,0.004926390183607188,True,True
2020-07-31,215449.1466006449,115290.57815235005,93772.46014906629,22402.203775560403,0.017765836623734765,0.01776583662373521,True,True
2020-08-03,218396.6403079676,116867.83319828221,95055.33242111042,22708.681455794704,0.013680693350743178,0.013680693350742734,True,True
2020-08-04,219215.69586497566,117306.12404415586,95411.8195819613,22793.846098036753,0.003750312073725448,0.003750312073725448,True,True
2020-08-05,219786.62460587124,117611.63792369633,95660.31159712265,22853.210742532538,0.002604415430395246,0.002604415430395246,True,True
2020-08-06,222584.76809585237,119108.97307588019,96878.1804216021,23144.159124760325,0.012731181867863262,0.012731181867863262,True,True
2020-08-07,220062.21131644194,117759.10915620807,95780.25843489084,22881.865994806452,-0.011333016185205103,-0.011333016185205325,True,True
2020-08-10,218991.07787937068,117185.92706109789,95314.05646042549,22770.49052682855,-0.004867411949846301,-0.004867411949846301,True,True
2020-08-11,214860.43807197057,114975.5499997443,93516.22962824245,22340.990405111464,-0.01886213743226306,-0.01886213743226317,True,True
2020-08-12,220424.32632753596,117952.88318430416,95937.86600021638,22919.518380052396,0.025895359357415604,0.025895359357415604,True,True
2020-08-13,220832.27368045968,118171.18289407964,96115.42171347183,22961.93636997759,0.0018507365304023526,0.0018507365304023526,True,True
2020-08-14,220557.27962948155,118024.02880400338,95995.73282589237,22933.34274190211,-0.0012452620552013682,-0.0012452620552013682,True,True
2020-08-17,223009.30991736957,119336.1527738499,97062.9587401425,23188.302592241795,0.011117430773571524,0.011117430773571524,True,True
2020-08-18,225191.48253741558,120503.87122139458,98012.73133511565,23415.202890892466,0.009785118930032866,0.009785118930032644,True,True
2020-08-19,223603.35238237755,119654.03520837524,97321.51081266506,23250.07058047668,-0.007052354454721299,-0.007052354454721188,True,True
2020-08-20,226732.79258463616,121328.6529820087,98683.57379265508,23575.466889631607,0.013995497692302239,0.013995497692302239,True,True
