basket_size,horizon_years,qqq_pct,stock_pct,n_windows_rolling,total_return_mean,total_return_median,total_return_std,total_return_p25,total_return_p75,final_value_mean,final_value_median,final_value_std,final_value_p25,final_value_p75,cagr_mean,cagr_median,cagr_std,cagr_p25,cagr_p75,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_p25,max_drawdown_p75,sharpe_ratio_mean,sharpe_ratio_median,sharpe_ratio_std,sharpe_ratio_p25,sharpe_ratio_p75,pct_windows_positive,n_windows_nonoverlap,cagr_nonoverlap_mean,cagr_nonoverlap_std,cagr_nonoverlap_tstat,cagr_nonoverlap_pvalue,sharpe_nonoverlap_mean,sharpe_nonoverlap_std,sharpe_nonoverlap_tstat,sharpe_nonoverlap_pvalue
2,10,5,95,3773,8.208733,7.296106,2.994107,6.084037,9.966141,92087.333679,82961.058232,29941.073249,70840.365011,109661.409698,0.243032,0.23573,0.039033,0.216296,0.270618,-0.422272,-0.505732,0.095234,-0.506569,-0.313224,0.971352,0.951643,0.14303,0.870719,1.105626,1.0,2,0.219358,0.058544,5.298939,0.305462,0.873268,0.315297,3.916904,0.318461
2,10,6,94,3773,8.152552,7.245641,2.972564,6.039886,9.901936,91525.522688,82456.405862,29725.643129,70398.859694,109019.356115,0.242278,0.23491,0.038992,0.215533,0.269861,-0.422002,-0.505406,0.095482,-0.506406,-0.313327,0.970464,0.950614,0.143486,0.869436,1.105141,1.0,2,0.218572,0.058836,5.253718,0.30574,0.872157,0.316797,3.893393,0.318798
2,10,7,93,3773,8.096371,7.194531,2.951068,5.994582,9.833229,90963.711698,81945.311406,29510.682948,69945.815446,108332.293595,0.24152,0.234093,0.038952,0.214756,0.269147,-0.42173,-0.50508,0.095732,-0.506242,-0.313431,0.969559,0.949708,0.143945,0.868233,1.104771,1.0,2,0.21778,0.059132,5.208502,0.306024,0.871027,0.318305,3.86993,0.319141
2,10,8,92,3773,8.04019,7.141962,2.92962,5.9499,9.772364,90401.900708,81419.624815,29296.203051,69498.995908,107723.635005,0.240758,0.233348,0.038913,0.213986,0.268356,-0.421457,-0.504753,0.095986,-0.506076,-0.313537,0.968636,0.948282,0.144409,0.867148,1.104119,1.0,2,0.216984,0.059431,5.163291,0.306316,0.869877,0.31982,3.846513,0.319489
2,10,9,91,3773,7.984009,7.089524,2.908221,5.910401,9.701907,89840.089718,80895.23852,29082.214064,69104.006653,107019.070245,0.239992,0.232519,0.038874,0.213283,0.267561,-0.421181,-0.504426,0.096243,-0.505908,-0.313643,0.967696,0.946849,0.144876,0.865959,1.103732,1.0,2,0.216182,0.059735,5.118085,0.306616,0.868708,0.321343,3.823139,0.319842
2,10,10,90,3773,7.927828,7.034945,2.886873,5.868391,9.632203,89278.278728,80349.450017,28868.726903,68683.911542,106322.029273,0.23922,0.231752,0.038836,0.212481,0.266762,-0.420903,-0.504098,0.096504,-0.505737,-0.313749,0.966739,0.94559,0.145348,0.864612,1.10331,1.0,2,0.215375,0.060042,5.072884,0.306923,0.867519,0.322873,3.799807,0.320201
2,10,11,89,3773,7.871647,6.985268,2.865575,5.829491,9.571615,88716.467737,79852.676405,28655.752784,68294.913615,105716.154303,0.238445,0.23099,0.038798,0.211854,0.265958,-0.420625,-0.50377,0.096764,-0.505565,-0.313857,0.965763,0.944408,0.145823,0.863134,1.102537,1.0,2,0.214563,0.060353,5.027689,0.307237,0.866309,0.324412,3.776513,0.320565
2,10,12,88,3773,7.815466,6.928533,2.84433,5.787336,9.510291,88154.656747,79285.334034,28443.303232,67873.357772,105102.913681,0.237664,0.230145,0.03876,0.211107,0.265166,-0.420422,-0.503441,0.096906,-0.505391,-0.313965,0.964769,0.942842,0.146303,0.861639,1.102084,1.0,2,0.213746,0.060669,4.9825,0.30756,0.865078,0.325958,3.753256,0.320934
2,10,13,87,3773,7.759285,6.874232,2.823139,5.741617,9.447866,87592.845757,78742.324463,28231.39009,67416.167015,104478.662485,0.236879,0.229312,0.038724,0.210305,0.264439,-0.420257,-0.503112,0.096989,-0.505214,-0.314074,0.963756,0.94112,0.146787,0.860596,1.101936,1.0,2,0.212923,0.060988,4.937317,0.307892,0.863826,0.327513,3.730033,0.32131
2,10,14,86,3773,7.703103,6.823049,2.802003,5.700266,9.380155,87031.034767,78230.488655,28020.025528,67002.661502,103801.546674,0.236089,0.228486,0.038688,0.209522,0.263729,-0.420106,-0.502782,0.097045,-0.505036,-0.314184,0.962723,0.939248,0.147275,0.85902,1.101541,1.0,2,0.212095,0.061312,4.892141,0.308232,0.862553,0.329076,3.706842,0.321691
