qqq_pct,stock_pct,tqqq_pct,cagr_pct,sharpe,max_dd_pct,calmar,h1_sharpe,h1_calmar,h1_cagr_pct,h1_max_dd_pct,h2_sharpe,h2_calmar,h2_cagr_pct,h2_max_dd_pct
55,0,45,45.77,1.051,-55.5,0.825,0.845,0.545,29.56,-54.3,1.223,1.146,63.55,-55.5
55,5,40,45.09,1.054,-55.3,0.815,0.851,0.544,28.75,-52.8,1.223,1.14,63.04,-55.3
55,10,35,44.33,1.058,-55.1,0.805,0.858,0.543,27.87,-51.3,1.223,1.133,62.42,-55.1
55,15,30,43.46,1.061,-54.8,0.793,0.865,0.541,26.91,-49.7,1.223,1.125,61.64,-54.8
55,20,25,42.43,1.063,-54.4,0.78,0.874,0.538,25.87,-48.1,1.223,1.115,60.64,-54.4
55,25,20,41.19,1.065,-53.8,0.765,0.882,0.533,24.72,-46.3,1.222,1.102,59.3,-53.8
55,30,15,39.62,1.067,-52.9,0.749,0.89,0.526,23.43,-44.5,1.222,1.085,57.4,-52.9
55,35,10,37.48,1.068,-51.2,0.732,0.896,0.516,21.98,-42.6,1.222,1.063,54.43,-51.2
55,40,5,34.04,1.069,-47.0,0.724,0.896,0.5,20.3,-40.6,1.223,1.04,48.89,-47.0
55,45,0,23.59,1.069,-38.5,0.612,0.882,0.475,18.3,-38.5,1.248,0.901,29.02,-32.2
60,0,40,45.08,1.053,-55.4,0.814,0.847,0.549,28.64,-52.2,1.223,1.14,63.15,-55.4
60,5,35,44.32,1.056,-55.2,0.803,0.854,0.548,27.75,-50.6,1.223,1.134,62.54,-55.2
60,10,30,43.44,1.059,-54.9,0.791,0.861,0.546,26.79,-49.0,1.223,1.125,61.77,-54.9
60,15,25,42.42,1.061,-54.5,0.778,0.869,0.543,25.73,-47.4,1.222,1.115,60.79,-54.5
60,20,20,41.18,1.064,-54.0,0.763,0.878,0.539,24.57,-45.6,1.222,1.102,59.46,-54.0
60,25,15,39.6,1.065,-53.1,0.746,0.886,0.531,23.26,-43.8,1.221,1.085,57.56,-53.1
60,30,10,37.45,1.066,-51.4,0.728,0.893,0.521,21.78,-41.8,1.221,1.062,54.6,-51.4
60,35,5,33.99,1.068,-47.4,0.717,0.894,0.504,20.07,-39.8,1.222,1.035,49.05,-47.4
60,40,0,23.26,1.072,-37.7,0.618,0.882,0.479,18.03,-37.7,1.255,0.911,28.62,-31.4
65,0,35,44.31,1.054,-55.3,0.802,0.849,0.553,27.63,-50.0,1.223,1.134,62.66,-55.3
65,5,30,43.43,1.057,-55.0,0.79,0.857,0.551,26.66,-48.4,1.222,1.126,61.9,-55.0
65,10,25,42.4,1.06,-54.6,0.776,0.865,0.548,25.59,-46.7,1.222,1.115,60.93,-54.6
65,15,20,41.16,1.062,-54.1,0.761,0.873,0.544,24.41,-44.9,1.222,1.102,59.61,-54.1
65,20,15,39.58,1.063,-53.3,0.743,0.882,0.537,23.09,-43.0,1.221,1.084,57.73,-53.3
65,25,10,37.42,1.064,-51.7,0.724,0.889,0.526,21.58,-41.0,1.22,1.06,54.78,-51.7
65,30,5,33.94,1.065,-47.8,0.71,0.892,0.509,19.83,-39.0,1.22,1.03,49.22,-47.8
65,35,0,22.9,1.075,-36.8,0.623,0.881,0.483,17.74,-36.8,1.263,0.922,28.19,-30.6
70,0,30,43.42,1.055,-55.1,0.788,0.852,0.557,26.53,-47.7,1.222,1.126,62.04,-55.1
70,5,25,42.39,1.057,-54.7,0.774,0.86,0.554,25.45,-45.9,1.222,1.116,61.07,-54.7
70,10,20,41.14,1.059,-54.2,0.758,0.868,0.55,24.25,-44.1,1.221,1.102,59.77,-54.2
70,15,15,39.56,1.061,-53.4,0.74,0.877,0.543,22.91,-42.2,1.22,1.084,57.91,-53.4
70,20,10,37.39,1.061,-51.9,0.72,0.885,0.532,21.38,-40.2,1.219,1.058,54.97,-51.9
70,25,5,33.89,1.063,-48.2,0.704,0.888,0.514,19.6,-38.1,1.219,1.026,49.39,-48.2
70,30,0,22.52,1.077,-35.9,0.628,0.879,0.486,17.45,-35.9,1.27,0.934,27.71,-29.7
75,0,25,42.38,1.055,-54.9,0.772,0.854,0.56,25.3,-45.2,1.221,1.116,61.22,-54.9
75,5,20,41.13,1.057,-54.4,0.756,0.863,0.556,24.09,-43.4,1.221,1.102,59.93,-54.4
75,10,15,39.54,1.058,-53.6,0.737,0.872,0.549,22.73,-41.4,1.22,1.083,58.08,-53.6
75,15,10,37.37,1.058,-52.2,0.716,0.88,0.538,21.17,-39.4,1.218,1.057,55.16,-52.2
75,20,5,33.84,1.06,-48.6,0.697,0.884,0.52,19.35,-37.2,1.217,1.021,49.57,-48.6
75,25,0,22.11,1.078,-35.0,0.632,0.876,0.49,17.16,-35.0,1.277,0.947,27.18,-28.7
80,0,20,41.11,1.054,-54.5,0.754,0.856,0.562,23.93,-42.6,1.22,1.102,60.1,-54.5
80,5,15,39.52,1.055,-53.8,0.734,0.865,0.555,22.55,-40.6,1.219,1.083,58.26,-53.8
80,10,10,37.34,1.055,-52.4,0.712,0.873,0.544,20.96,-38.5,1.217,1.055,55.35,-52.4
80,15,5,33.79,1.056,-49.0,0.69,0.878,0.525,19.1,-36.4,1.215,1.016,49.76,-49.0
80,20,0,21.66,1.077,-34.1,0.636,0.871,0.495,16.85,-34.1,1.283,0.961,26.58,-27.7
85,0,15,39.5,1.052,-54.0,0.732,0.858,0.562,22.36,-39.8,1.218,1.082,58.45,-54.0
85,5,10,37.31,1.052,-52.7,0.708,0.866,0.55,20.75,-37.7,1.216,1.054,55.55,-52.7
85,10,5,33.73,1.052,-49.4,0.683,0.871,0.531,18.85,-35.5,1.213,1.011,49.95,-49.4
85,15,0,21.18,1.074,-33.1,0.639,0.865,0.499,16.53,-33.1,1.286,0.977,25.92,-26.5
90,0,10,37.28,1.048,-53.0,0.704,0.858,0.557,20.53,-36.8,1.215,1.052,55.76,-53.0
90,5,5,33.68,1.047,-49.8,0.676,0.863,0.537,18.59,-34.6,1.211,1.007,50.15,-49.8
90,10,0,20.64,1.068,-32.2,0.641,0.857,0.503,16.21,-32.2,1.286,0.994,25.15,-25.3
95,0,5,33.63,1.042,-50.3,0.669,0.853,0.544,18.32,-33.7,1.208,1.002,50.36,-50.3
95,5,0,20.04,1.056,-31.2,0.642,0.846,0.508,15.87,-31.2,1.278,1.012,24.28,-24.0
100,0,0,19.36,1.037,-30.3,0.64,0.834,0.513,15.53,-30.3,1.256,1.032,23.25,-22.5
