variant,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,cooldown_until,signal_date,breadth_60_sessions_ago,breadth_on_signal,breadth_fall_60_points,ndx_return_60_pct,original_price_rise_met,rolling_breadth_max_60,breadth_drawdown_60_points
drawdown_25,2009-03-09,2010-05-21,1058.85,1772.34,67.21618224745116,0.0,21238.13202373515,VIX,rolling-breadth-drawdown,2010-06-05,2010-05-20,,50.6,,,False,94.2,43.6
drawdown_25,2010-06-11,2010-06-15,1814.25,1855.69,2.1819064286239227,0.0,21699.50637261638,MA200-recross,rolling-breadth-drawdown,2010-06-30,2010-06-14,,55.8,,,False,94.2,38.400000000000006
drawdown_25,2010-07-23,2010-07-28,1851.81,1887.46,1.823269301838262,0.0,22093.128578265714,MA200-recross,rolling-breadth-drawdown,2010-08-12,2010-07-27,,58.2,,,False,89.4,31.200000000000003
drawdown_25,2011-06-22,2011-07-28,2243.21,2367.44,5.43256062198528,-1.1657401669928402,23291.29685596693,MA200-recross,rolling-breadth-drawdown,2011-08-12,2011-07-27,,56.42,,,False,92.59,36.17
drawdown_25,2011-08-17,2011-08-19,2193.3,2053.01,-6.489854739798282,-5.4835179865955395,21777.79042154687,VIX,rolling-breadth-drawdown,2011-09-03,2011-08-18,,16.6,,,False,87.77,71.16999999999999
drawdown_25,2011-09-07,2011-09-09,2198.61,2197.72,-0.1403896866272572,0.0,21745.218053716584,VIX,rolling-breadth-drawdown,2011-09-24,2011-09-08,,28.0,,,False,82.12,54.120000000000005
drawdown_25,2011-09-27,2011-09-29,2270.69,2255.55,-0.7660412821039062,-2.1953679278104854,21576.648366954425,VIX,rolling-breadth-drawdown,2011-10-14,2011-09-28,,22.2,,,False,82.12,59.92
drawdown_25,2011-11-23,2011-11-28,2199.46,2207.68,0.27340453058277714,-2.2087239595173327,21633.63716709229,VIX,rolling-breadth-drawdown,2011-12-13,2011-11-25,,18.39,,,False,53.0,34.61
drawdown_25,2011-12-27,2012-05-17,2284.29,2562.13,12.050972093069982,-0.7534069667161366,24238.580235093665,MA200-recross,rolling-breadth-drawdown,2012-06-01,2012-05-16,,59.4,,,False,85.77,26.369999999999997
drawdown_25,2012-11-02,2012-11-09,2701.91,2574.87,-4.7971095709477884,-4.786984022413763,23073.876953869836,MA200-recross,rolling-breadth-drawdown,2012-11-24,2012-11-08,,50.0,,,False,78.59,28.590000000000003
drawdown_25,2012-11-30,2014-08-08,2680.55,3864.09,44.008798234670515,-2.7677155807576823,33225.97281943221,MA200-recross,rolling-breadth-drawdown,2014-08-23,2014-08-07,,58.79,,,True,87.97,29.18
drawdown_25,2015-08-25,2015-08-27,4187.28,4281.63,2.151050556569611,0.0,33938.658782184706,VIX,rolling-breadth-drawdown,2015-09-11,2015-08-26,,25.89,,,False,60.95,35.06
drawdown_25,2015-10-16,2016-01-08,4419.94,4336.12,-1.994460400446337,-2.584197975538115,33259.785616935435,MA200-recross,rolling-breadth-drawdown,2016-01-23,2016-01-07,,27.97,,,False,53.26,25.29
drawdown_25,2016-03-22,2016-11-02,4403.47,4764.83,8.098103341782453,-4.596602225063412,35951.116446416745,MA200-recross,rolling-breadth-drawdown,2016-11-17,2016-11-01,,53.64,,,False,79.96,26.319999999999993
drawdown_25,2018-10-15,2018-10-19,7129.31,7169.45,0.4625150671458209,-0.1854316897427697,36115.391151637894,MA200-recross,rolling-breadth-drawdown,2018-11-03,2018-10-18,,43.65,,,False,70.03,26.380000000000003
drawdown_25,2018-11-08,2018-11-13,7176.19,6858.59,-4.52127329988182,-4.83668910661506,34480.56082708401,MA200-recross,rolling-breadth-drawdown,2018-11-28,2018-11-12,,42.94,,,False,70.03,27.090000000000003
drawdown_25,2018-12-24,2018-12-27,5994.08,6168.6,2.808679276196219,0.0,35446.98110655779,VIX,rolling-breadth-drawdown,2019-01-11,2018-12-26,,15.13,,,False,62.77,47.64
drawdown_25,2019-02-19,2020-02-26,7033.37,8883.01,26.171827008750558,-0.7869627219952805,44721.8419633205,MA200-recross,rolling-breadth-drawdown,2020-03-12,2020-02-25,,50.29,,,True,84.35,34.059999999999995
drawdown_25,2020-03-16,2020-03-18,7502.26,7023.86,-6.470321607423461,-0.37735295764210247,41826.25966274607,VIX,rolling-breadth-drawdown,2020-04-02,2020-03-17,,10.29,,,False,84.35,74.06
drawdown_25,2020-04-06,2020-04-08,7819.06,8134.3,3.927706976509213,0.0,43467.03330446284,VIX,rolling-breadth-drawdown,2020-04-23,2020-04-07,,12.25,,,False,84.35,72.1
drawdown_25,2020-04-27,2020-04-29,8865.58,8871.04,-0.03842508551779747,-2.1203350485811367,43448.33144399441,VIX+MA200,rolling-breadth-drawdown,2020-05-14,2020-04-28,,23.76,,,False,78.01,54.25
drawdown_25,2020-05-18,2020-06-12,9281.35,9785.58,5.327342577802028,0.0,45760.91963092909,VIX+MA200,rolling-breadth-drawdown,2020-06-27,2020-06-11,,33.46,,,True,61.98,28.519999999999996
drawdown_25,2022-02-03,2022-02-07,14693.85,14716.43,0.05356611465159132,0.0,45783.431441943074,MA200-recross,rolling-breadth-drawdown,2022-02-22,2022-02-04,,48.31,,,False,74.65,26.340000000000003
drawdown_25,2022-03-30,2022-05-03,15177.15,13045.35,-14.132026306551012,-15.301621187113525,39311.446186789,MA200-recross,rolling-breadth-drawdown,2022-05-18,2022-05-02,,33.46,,,False,59.2,25.740000000000002
drawdown_25,2022-06-14,2022-06-16,11385.18,11286.87,-0.9625779248576266,0.0,38931.05250963193,VIX,rolling-breadth-drawdown,2022-07-01,2022-06-15,,16.43,,,False,59.2,42.77
drawdown_25,2022-09-27,2022-09-29,11411.34,11334.57,-0.7720294509428843,0.0,38628.50103899005,VIX,rolling-breadth-drawdown,2022-10-14,2022-09-28,,14.71,,,False,47.51,32.8
drawdown_25,2022-10-18,2022-10-20,11368.76,11081.23,-2.626545833968897,-2.334291514641887,37611.932019684165,VIX,rolling-breadth-drawdown,2022-11-04,2022-10-19,,19.88,,,False,47.51,27.63
drawdown_25,2023-01-27,2023-03-10,12000.21,12001.7,-0.08754598585292793,-0.7318205264741177,37577.005158459055,MA200-recross,rolling-breadth-drawdown,2023-03-25,2023-03-09,,47.71,,,True,75.94,28.229999999999997
drawdown_25,2023-10-30,2023-11-01,14283.98,14453.68,1.0869067530785335,0.0,37983.42129606349,MA200,rolling-breadth-drawdown,2023-11-16,2023-10-31,,30.21,,,False,61.82,31.61
drawdown_25,2025-04-07,2025-04-09,16771.77,17116.53,1.9535923995380633,0.0,38723.44299166392,VIX,rolling-breadth-drawdown,2025-04-24,2025-04-08,,17.69,,,False,63.61,45.92
