Date,frozen_baseline,prior_70_30,boost_5%,boost_10%,boost_15%,primary_breadth_bucket,primary_ma200_bucket,primary_3x_drag
2002-09-19,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-20,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-23,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-24,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-25,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-26,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-27,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-09-30,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-10-01,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-10-02,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-10-03,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-10-04,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-10-07,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-10-08,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-10-09,11124.5309745696,10786.537882889552,10866.69448950437,10948.963760483082,11031.233031461798,7948.963760483083,3000.0,10944.212194174503
2002-10-10,11663.050323181827,11163.156135292982,11301.28117083576,11443.823208321708,11587.518611303165,8443.823208321708,3000.0,11438.494309415675
2002-10-11,12226.45485166492,11557.492008490508,11764.44185559567,11977.322376936669,12192.712280263717,8977.322376936669,3000.0,11971.30987228929
2002-10-14,12365.658602123463,11654.922947920893,11880.92862664623,12113.281878338434,12348.522457779067,9113.281878338434,3000.0,12106.795255116078
2002-10-15,13047.537328482022,12132.180813947238,12454.647559947485,12785.569247858733,13121.294824380384,9785.569247858733,3000.0,12778.125710550776
2002-10-16,12494.428935387872,11745.05137118095,11978.403115274396,12218.272982910785,12461.164695454914,9218.272982910785,3000.0,12210.924687967952
2002-10-17,12973.954280902357,12080.678857798632,12382.411048491478,12692.154754486412,13006.279513006704,9692.154754486412,3000.0,12683.922169910933
2002-10-18,13125.925239243194,12187.045770963756,12512.460190817079,12846.4014861669,13185.19666865829,9846.4014861669,3000.0,12837.556878468773
2002-10-21,13444.693590884945,12410.15685711499,12786.828531868154,13173.141185839882,13565.332630681938,10173.141185839882,3000.0,13163.436576131604
2002-10-22,13232.181356457111,12261.416133014169,12601.666576398185,12950.768196261553,13305.018270918237,9950.768196261553,3000.0,12940.886615863548
