qqq_pct,stock_pct,tqqq_pct,years,n_windows,deployed_usd,avg_final_usd,avg_return_pct,median_final_usd,median_return_pct,worst_final_usd,best_final_usd,pct_losing_windows
55,10,35,1,5910,1000000,1351060,35.1,1273824,27.4,387769,3937425,14.0
55,15,30,1,5910,1000000,1335862,33.6,1265997,26.6,399732,3732711,14.0
55,20,25,1,5910,1000000,1320663,32.1,1259472,25.9,411696,3527998,13.7
55,25,20,1,5910,1000000,1305464,30.5,1256267,25.6,423659,3323284,13.5
55,30,15,1,5910,1000000,1290265,29.0,1249124,24.9,435622,3118571,13.3
55,35,10,1,5910,1000000,1275067,27.5,1237068,23.7,447586,2913857,13.4
55,40,5,1,5910,1000000,1259868,26.0,1227954,22.8,459549,2709144,14.0
55,45,0,1,5910,1000000,1244669,24.5,1214236,21.4,471512,2504430,14.6
60,0,40,1,5910,1000000,1360901,36.1,1274041,27.4,385021,4097373,13.9
60,5,35,1,5910,1000000,1345702,34.6,1267873,26.8,396985,3892659,13.8
60,10,30,1,5910,1000000,1330503,33.1,1260451,26.0,408948,3687946,13.7
60,15,25,1,5910,1000000,1315305,31.5,1253186,25.3,420911,3483232,13.5
60,20,20,1,5910,1000000,1300106,30.0,1246394,24.6,432875,3278519,13.4
60,25,15,1,5910,1000000,1284907,28.5,1242021,24.2,444838,3073805,13.1
60,30,10,1,5910,1000000,1269709,27.0,1232470,23.2,456801,2869092,13.0
60,35,5,1,5910,1000000,1254510,25.5,1222999,22.3,468765,2664378,13.4
60,40,0,1,5910,1000000,1239311,23.9,1210129,21.0,480728,2459665,13.8
65,0,35,1,5910,1000000,1340344,34.0,1260749,26.1,406200,3847894,13.6
65,5,30,1,5910,1000000,1325145,32.5,1255972,25.6,418164,3643180,13.4
65,10,25,1,5910,1000000,1309946,31.0,1247248,24.7,430127,3438467,13.2
65,15,20,1,5910,1000000,1294748,29.5,1239815,24.0,442090,3233753,13.1
65,20,15,1,5910,1000000,1279549,28.0,1234130,23.4,454054,3029040,13.0
65,25,10,1,5910,1000000,1264350,26.4,1228774,22.9,466017,2824326,12.7
65,30,5,1,5910,1000000,1249152,24.9,1218029,21.8,477980,2619613,12.6
65,35,0,1,5910,1000000,1233953,23.4,1206944,20.7,489944,2414899,13.2
70,0,30,1,5910,1000000,1319787,32.0,1248052,24.8,427379,3598415,13.0
70,5,25,1,5910,1000000,1304588,30.5,1243093,24.3,439343,3393702,12.9
70,10,20,1,5910,1000000,1289389,28.9,1234480,23.4,451306,3188988,12.8
70,15,15,1,5910,1000000,1274191,27.4,1226843,22.7,463269,2984275,12.7
70,20,10,1,5910,1000000,1258992,25.9,1222670,22.3,475233,2779561,12.4
70,25,5,1,5910,1000000,1243793,24.4,1214026,21.4,487196,2574847,12.2
70,30,0,1,5910,1000000,1228595,22.9,1204209,20.4,499160,2370134,12.4
75,0,25,1,5910,1000000,1299230,29.9,1235287,23.5,448559,3348936,12.5
75,5,20,1,5910,1000000,1284031,28.4,1229567,23.0,460522,3144223,12.4
75,10,15,1,5910,1000000,1268832,26.9,1220734,22.1,472485,2939509,12.3
75,15,10,1,5910,1000000,1253634,25.4,1214155,21.4,484449,2734796,12.1
75,20,5,1,5910,1000000,1238435,23.8,1208575,20.9,496412,2530082,11.9
75,25,0,1,5910,1000000,1223236,22.3,1199237,19.9,508375,2325369,11.7
80,0,20,1,5910,1000000,1278673,27.9,1221494,22.1,469738,3099457,12.1
80,5,15,1,5910,1000000,1263474,26.3,1215098,21.5,481701,2894744,11.8
80,10,10,1,5910,1000000,1248275,24.8,1207403,20.7,493664,2690030,11.7
80,15,5,1,5910,1000000,1233077,23.3,1202522,20.3,505628,2485317,11.6
80,20,0,1,5910,1000000,1217878,21.8,1194733,19.5,517591,2280603,11.4
85,0,15,1,5910,1000000,1258116,25.8,1207756,20.8,490917,2849978,11.6
85,5,10,1,5910,1000000,1242917,24.3,1201759,20.2,502880,2645265,11.1
85,10,5,1,5910,1000000,1227718,22.8,1194506,19.5,514843,2440551,11.0
85,15,0,1,5910,1000000,1212520,21.3,1189894,19.0,526807,2235838,11.0
90,0,10,1,5910,1000000,1237559,23.8,1195829,19.6,512096,2600500,10.9
90,5,5,1,5910,1000000,1222360,22.2,1188684,18.9,524059,2395786,10.7
90,10,0,1,5910,1000000,1207161,20.7,1182688,18.3,536023,2191073,10.4
95,0,5,1,5910,1000000,1217002,21.7,1184036,18.4,533275,2351021,10.2
95,5,0,1,5910,1000000,1201803,20.2,1176393,17.6,545238,2146307,10.0
100,0,0,1,5910,1000000,1196445,19.6,1171048,17.1,554454,2101542,9.5
0,0,100,2,5658,1200000,2862667,138.6,2265020,88.8,726227,11406791,2.7
0,5,95,2,5658,1200000,2816081,134.7,2243231,86.9,736292,11007941,2.6
0,10,90,2,5658,1200000,2769494,130.8,2218242,84.9,746356,10609091,2.6
0,15,85,2,5658,1200000,2722907,126.9,2195653,83.0,756421,10210241,2.6
0,20,80,2,5658,1200000,2676320,123.0,2171174,80.9,766486,9855986,2.6
0,25,75,2,5658,1200000,2629733,119.1,2151586,79.3,776551,9536133,2.5
0,30,70,2,5658,1200000,2583146,115.3,2128123,77.3,786616,9216279,2.5
0,35,65,2,5658,1200000,2536559,111.4,2107954,75.7,796681,8896426,2.5
0,40,60,2,5658,1200000,2489972,107.5,2089353,74.1,806746,8576572,2.5
0,45,55,2,5658,1200000,2443385,103.6,2054006,71.2,816810,8256719,2.5
0,50,50,2,5658,1200000,2396798,99.7,2020010,68.3,826875,7936865,2.5
0,55,45,2,5658,1200000,2350211,95.9,1988782,65.7,836940,7617012,2.6
0,60,40,2,5658,1200000,2303624,92.0,1956752,63.1,847005,7297158,2.8
0,65,35,2,5658,1200000,2257037,88.1,1928754,60.7,857070,6977305,2.9
0,70,30,2,5658,1200000,2210450,84.2,1892137,57.7,867135,6657452,3.3
0,75,25,2,5658,1200000,2163863,80.3,1856664,54.7,877200,6337598,3.7
0,80,20,2,5658,1200000,2117276,76.4,1817257,51.4,887264,6017745,4.0
0,85,15,2,5658,1200000,2070689,72.6,1778358,48.2,897329,5697891,4.6
0,90,10,2,5658,1200000,2024103,68.7,1741668,45.1,907394,5378038,5.5
0,95,5,2,5658,1200000,1977516,64.8,1708902,42.4,917459,5104241,6.6
0,100,0,2,5658,1200000,1930929,60.9,1673926,39.5,917393,4880858,7.6
5,0,95,2,5658,1200000,2802578,133.5,2229651,85.8,745866,10970491,2.6
5,5,90,2,5658,1200000,2755992,129.7,2208935,84.1,755931,10571641,2.6
5,10,85,2,5658,1200000,2709405,125.8,2183030,81.9,765996,10172791,2.5
5,15,80,2,5658,1200000,2662818,121.9,2161849,80.2,776061,9773941,2.5
5,20,75,2,5658,1200000,2616231,118.0,2138203,78.2,786125,9435860,2.5
5,25,70,2,5658,1200000,2569644,114.1,2118375,76.5,796190,9116006,2.4
5,30,65,2,5658,1200000,2523057,110.3,2094180,74.5,806255,8796153,2.4
5,35,60,2,5658,1200000,2476470,106.4,2076471,73.0,816320,8476299,2.4
5,40,55,2,5658,1200000,2429883,102.5,2048338,70.7,826385,8156446,2.4
5,45,50,2,5658,1200000,2383296,98.6,2014868,67.9,836450,7836592,2.5
5,50,45,2,5658,1200000,2336709,94.7,1980637,65.1,846515,7516739,2.5
5,55,40,2,5658,1200000,2290122,90.8,1950639,62.6,856579,7196885,2.5
5,60,35,2,5658,1200000,2243535,87.0,1918663,59.9,866644,6877032,2.7
5,65,30,2,5658,1200000,2196948,83.1,1887178,57.3,876709,6557178,3.0
5,70,25,2,5658,1200000,2150361,79.2,1851951,54.3,886774,6237325,3.3
5,75,20,2,5658,1200000,2103774,75.3,1813371,51.1,896839,5917471,3.6
5,80,15,2,5658,1200000,2057187,71.4,1775330,47.9,906904,5597618,4.0
5,85,10,2,5658,1200000,2010600,67.6,1736842,44.7,916969,5277765,4.9
5,90,5,2,5658,1200000,1964014,63.7,1704309,42.0,927034,4991781,6.0
5,95,0,2,5658,1200000,1917427,59.8,1667776,39.0,933657,4768399,7.1
10,0,90,2,5658,1200000,2742489,128.5,2197371,83.1,765505,10534190,2.5
10,5,85,2,5658,1200000,2695902,124.7,2175572,81.3,775570,10135340,2.5
10,10,80,2,5658,1200000,2649316,120.8,2149468,79.1,785635,9736490,2.5
10,15,75,2,5658,1200000,2602729,116.9,2127005,77.3,795700,9337640,2.4
10,20,70,2,5658,1200000,2556142,113.0,2106921,75.6,805765,9015733,2.4
10,25,65,2,5658,1200000,2509555,109.1,2083272,73.6,815830,8695880,2.4
10,30,60,2,5658,1200000,2462968,105.2,2058581,71.5,825895,8376026,2.3
10,35,55,2,5658,1200000,2416381,101.4,2042275,70.2,835959,8056173,2.3
10,40,50,2,5658,1200000,2369794,97.5,2011090,67.6,846024,7736319,2.4
10,45,45,2,5658,1200000,2323207,93.6,1974888,64.6,856089,7416466,2.4
10,50,40,2,5658,1200000,2276620,89.7,1942795,61.9,866154,7096612,2.4
10,55,35,2,5658,1200000,2230033,85.8,1911368,59.3,876219,6776759,2.4
10,60,30,2,5658,1200000,2183446,82.0,1880524,56.7,886284,6456905,2.7
10,65,25,2,5658,1200000,2136859,78.1,1845297,53.8,896349,6137052,3.0
10,70,20,2,5658,1200000,2090272,74.2,1809069,50.8,906413,5817198,3.3
10,75,15,2,5658,1200000,2043685,70.3,1771954,47.7,916478,5497345,3.8
10,80,10,2,5658,1200000,1997098,66.4,1732367,44.4,926543,5177491,4.4
10,85,5,2,5658,1200000,1950511,62.5,1698345,41.5,936608,4879322,5.3
10,90,0,2,5658,1200000,1903925,58.7,1663291,38.6,946673,4655939,6.6
15,0,85,2,5658,1200000,2682400,123.5,2162444,80.2,785145,10097890,2.5
15,5,80,2,5658,1200000,2635813,119.7,2140999,78.4,795210,9699040,2.5
15,10,75,2,5658,1200000,2589227,115.8,2115877,76.3,805274,9300190,2.5
15,15,70,2,5658,1200000,2542640,111.9,2091648,74.3,815339,8915460,2.4
15,20,65,2,5658,1200000,2496053,108.0,2073789,72.8,825404,8595606,2.3
15,25,60,2,5658,1200000,2449466,104.1,2048134,70.7,835469,8275753,2.3
15,30,55,2,5658,1200000,2402879,100.2,2026270,68.9,845534,7955899,2.3
15,35,50,2,5658,1200000,2356292,96.4,2007166,67.3,855599,7636046,2.3
15,40,45,2,5658,1200000,2309705,92.5,1970873,64.2,865664,7316193,2.3
15,45,40,2,5658,1200000,2263118,88.6,1936234,61.4,875728,6996339,2.3
15,50,35,2,5658,1200000,2216531,84.7,1905549,58.8,885793,6676486,2.3
15,55,30,2,5658,1200000,2169944,80.8,1873841,56.2,895858,6356632,2.4
15,60,25,2,5658,1200000,2123357,76.9,1838877,53.2,905923,6036779,2.6
15,65,20,2,5658,1200000,2076770,73.1,1803617,50.3,915988,5716925,2.9
15,70,15,2,5658,1200000,2030183,69.2,1766865,47.2,926053,5397072,3.4
15,75,10,2,5658,1200000,1983596,65.3,1725758,43.8,936118,5077218,3.8
15,80,5,2,5658,1200000,1937009,61.4,1692662,41.1,946183,4766863,4.6
15,85,0,2,5658,1200000,1890422,57.5,1658827,38.2,956247,4543480,6.1
20,0,80,2,5658,1200000,2622311,118.5,2129096,77.4,804784,9661589,2.5
20,5,75,2,5658,1200000,2575724,114.6,2106509,75.5,814849,9262739,2.4
20,10,70,2,5658,1200000,2529138,110.8,2082361,73.5,824914,8863889,2.4
20,15,65,2,5658,1200000,2482551,106.9,2057536,71.5,834979,8495333,2.2
20,20,60,2,5658,1200000,2435964,103.0,2039285,69.9,845043,8175480,2.2
20,25,55,2,5658,1200000,2389377,99.1,2012107,67.7,855108,7855626,2.2
20,30,50,2,5658,1200000,2342790,95.2,1992463,66.0,865173,7535773,2.2
20,35,45,2,5658,1200000,2296203,91.4,1967224,63.9,875238,7215919,2.2
20,40,40,2,5658,1200000,2249616,87.5,1930807,60.9,885303,6896066,2.2
20,45,35,2,5658,1200000,2203029,83.6,1897951,58.2,895368,6576212,2.2
20,50,30,2,5658,1200000,2156442,79.7,1864647,55.4,905433,6256359,2.2
20,55,25,2,5658,1200000,2109855,75.8,1835433,53.0,915498,5936506,2.4
20,60,20,2,5658,1200000,2063268,71.9,1800317,50.0,925562,5616652,2.6
20,65,15,2,5658,1200000,2016681,68.1,1761493,46.8,935627,5296799,3.0
20,70,10,2,5658,1200000,1970094,64.2,1722464,43.5,945692,4976945,3.5
