Date,rolling_breadth_max_60,breadth,breadth_drawdown_60_points,breadth_below_60,original_price_rise_met,canonical_divergence,drawdown_15,drawdown_20,drawdown_25,price,next_session_open,episode_onset
2012-05-21,85.77,56.4,29.369999999999997,True,False,False,True,True,True,2545.43,2553.58,False
2012-05-22,85.77,56.59,29.179999999999993,True,False,False,True,True,True,2539.2,2534.66,False
2012-05-23,85.77,57.11,28.659999999999997,True,False,False,True,True,True,2547.08,2553.12,False
2012-05-24,85.77,56.91,28.86,True,False,False,True,True,True,2531.35,2532.32,False
2012-05-25,85.77,55.71,30.059999999999995,True,False,False,True,True,True,2527.05,2542.66,False
2012-05-30,85.77,53.21,32.559999999999995,True,False,False,True,True,True,2537.4,2535.87,True
2012-05-31,85.77,52.0,33.769999999999996,True,False,False,True,True,True,2524.87,2510.82,False
2012-06-01,85.77,42.59,43.17999999999999,True,False,False,True,True,True,2458.83,2458.97,False
2012-06-04,85.77,41.79,43.98,True,False,False,True,True,True,2478.13,2467.81,False
2012-06-05,85.77,44.4,41.37,True,False,False,True,True,True,2487.5,2504.08,False
2012-06-06,85.77,52.5,33.269999999999996,True,False,False,True,True,True,2546.32,2569.24,False
2012-06-07,85.77,51.9,33.87,True,False,False,True,True,True,2535.41,2529.42,False
2012-06-08,85.77,51.9,33.87,True,False,False,True,True,True,2559.21,2578.73,False
2012-06-11,85.77,50.1,35.669999999999995,True,False,False,True,True,True,2517.18,2523.01,False
2012-06-12,85.77,53.1,32.669999999999995,True,False,False,True,True,True,2546.2,2541.72,False
2012-06-13,85.77,50.5,35.269999999999996,True,False,False,True,True,True,2527.44,2529.28,False
2012-06-14,85.77,52.3,33.47,True,False,False,True,True,True,2539.97,2543.85,False
2012-06-15,85.77,56.11,29.659999999999997,True,False,False,True,True,True,2571.23,2570.98,False
2012-06-18,85.77,56.11,29.659999999999997,True,False,False,True,True,True,2592.52,2606.43,False
2012-06-21,85.57,52.5,33.06999999999999,True,False,False,True,True,True,2556.96,2562.28,True
2012-06-22,85.57,54.5,31.069999999999993,True,False,False,True,True,True,2585.53,2562.98,False
2012-06-25,85.57,49.09,36.47999999999999,True,False,False,True,True,True,2533.54,2541.21,False
2012-06-26,85.57,50.3,35.269999999999996,True,False,False,True,True,True,2549.84,2558.67,False
2012-06-27,84.56,54.5,30.060000000000002,True,False,False,True,True,True,2565.53,2565.53,False
2012-06-28,83.16,52.5,30.659999999999997,True,False,False,True,True,True,2536.65,2566.84,False
2012-07-06,81.8,59.15,22.65,True,False,False,True,True,False,2612.29,2610.38,True
2012-07-09,81.8,56.94,24.86,True,False,False,True,True,False,2610.31,2620.33,False
2012-07-10,81.8,53.92,27.879999999999995,True,False,False,True,True,True,2585.52,2580.07,False
2012-07-11,81.8,54.72,27.08,True,False,False,True,True,True,2570.99,2561.68,False
2012-07-12,81.8,50.5,31.299999999999997,True,False,False,True,True,True,2545.3,2545.98,False
2012-07-13,81.8,57.54,24.259999999999998,True,False,False,True,True,False,2584.97,2579.96,False
2012-07-16,81.8,55.93,25.869999999999997,True,False,False,True,True,True,2577.05,2591.78,False
2012-07-17,81.8,57.34,24.459999999999994,True,False,False,True,True,False,2591.65,2586.86,False
2012-07-20,81.8,56.53,25.269999999999996,True,False,False,True,True,True,2618.04,2575.29,True
2012-07-23,81.8,52.31,29.489999999999995,True,False,False,True,True,True,2589.93,2593.39,False
2012-07-24,81.8,49.89,31.909999999999997,True,False,False,True,True,True,2567.46,2551.7,False
2012-07-25,81.8,50.5,31.299999999999997,True,False,False,True,True,True,2549.2,2588.2,False
2012-07-26,79.8,56.13,23.669999999999995,True,False,False,True,True,False,2584.85,2600.03,False
2012-11-07,78.59,56.79,21.800000000000004,True,False,False,True,True,False,2612.69,2620.25,True
2012-11-08,78.59,50.0,28.590000000000003,True,False,False,True,True,True,2572.57,2574.87,False
2012-11-09,78.59,51.2,27.39,True,False,False,True,True,True,2584.1,2596.57,False
2012-11-12,78.59,51.59,27.0,True,False,False,True,True,True,2582.77,2558.86,False
2012-11-13,78.59,50.2,28.39,True,False,False,True,True,True,2561.86,2574.62,False
2012-11-14,78.59,43.2,35.39,True,False,False,True,True,True,2531.87,2534.24,False
2012-11-15,78.59,44.59,34.0,True,False,False,True,True,True,2524.36,2525.89,False
2012-11-16,78.59,47.0,31.590000000000003,True,False,False,True,True,True,2534.16,2564.23,False
2012-11-19,78.59,52.0,26.590000000000003,True,False,False,True,True,True,2595.83,2592.27,False
2012-11-20,78.59,52.59,26.0,True,False,False,True,True,True,2594.66,2596.02,False
2012-11-21,78.59,53.59,25.0,True,False,False,True,True,True,2600.48,2617.87,False
2012-11-27,78.59,57.59,21.0,True,False,False,True,True,False,2641.42,2627.57,True
2014-02-03,83.96,59.03,24.929999999999993,True,False,False,True,True,False,3440.5,3460.13,True
2014-08-07,87.97,58.79,29.18,True,True,True,True,True,True,3857.94,3864.09,True
2014-10-01,85.8,56.4,29.4,True,True,True,True,True,True,3984.74,3984.8,True
2014-10-02,85.19,55.79,29.4,True,False,False,True,True,True,3985.87,4004.75,False
2014-10-06,85.19,58.2,26.989999999999995,True,False,False,True,True,True,4016.27,3999.25,True
2014-10-07,85.0,49.4,35.6,True,False,False,True,True,True,3958.59,3960.79,False
2014-10-08,85.0,58.4,26.6,True,True,True,True,True,True,4041.12,4031.61,False
2014-10-09,83.8,50.4,33.4,True,False,False,True,True,True,3969.32,3946.32,False
2014-10-10,83.8,43.2,40.599999999999994,True,False,False,True,True,True,3870.86,3866.89,False
2014-10-13,83.8,38.0,45.8,True,False,False,True,True,True,3807.99,3837.22,False
2014-10-14,83.8,37.79,46.01,True,False,False,True,True,True,3810.45,3738.72,False
2014-10-15,83.8,35.79,48.01,True,False,False,True,True,True,3785.97,3706.7,False
2014-10-16,83.8,36.2,47.599999999999994,True,False,False,True,True,True,3765.28,3815.72,False
2014-10-17,81.0,41.0,40.0,True,False,False,True,True,True,3815.47,3813.59,False
2014-10-20,81.0,46.0,35.0,True,False,False,True,True,True,3870.08,3916.65,False
2014-10-21,81.0,55.79,25.21,True,False,False,True,True,True,3971.39,3980.49,False
2014-10-22,81.0,51.2,29.799999999999997,True,False,False,True,True,True,3949.59,3989.86,False
2014-10-23,81.0,56.4,24.6,True,False,False,True,True,False,4012.27,4019.84,False
2014-10-24,81.0,59.79,21.21,True,True,False,True,True,False,4042.02,4031.88,False
2015-06-29,70.54,47.49,23.050000000000004,True,False,False,True,True,False,4379.86,4414.86,True
2015-06-30,70.54,48.69,21.85000000000001,True,False,False,True,True,False,4396.76,4433.79,False
2015-07-01,70.54,50.4,20.140000000000008,True,False,False,True,True,False,4429.23,4440.17,False
2015-07-02,70.54,50.4,20.140000000000008,True,False,False,True,True,False,4433.39,4394.44,False
2015-07-06,70.54,49.39,21.150000000000006,True,False,False,True,True,False,4418.66,4422.74,False
2015-07-08,70.54,44.64,25.900000000000006,True,False,False,True,True,True,4351.58,4410.27,True
2015-07-09,70.54,46.06,24.480000000000004,True,False,False,True,True,False,4352.03,4405.99,False
2015-07-10,70.34,49.49,20.85,True,False,False,True,True,False,4420.15,4457.76,False
2015-07-24,69.33,48.39,20.939999999999998,True,False,False,True,True,False,4557.38,4530.36,True
