variant,record_type,component,entry_date,exit_date,signal_date,component_return_pct,allocation_at_entry,portfolio_contribution_pct,sell_reason,cluster,return_pct,max_drawdown_pct,accumulated,buy_trigger,component_events
15%,component_exit,tqqq_ma200,2004-10-27,2005-03-23,2005-03-22,0.24278714990424444,0.1364874521506019,0.033137399505336576,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2005-03-31,2005-04-04,2005-04-01,-4.233610531920451,0.1367735029635608,-0.5790457426341841,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2005-04-06,2005-04-12,2005-04-11,-2.365197192010904,0.1323084952563204,-0.312935681459437,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2005-05-18,2005-06-27,2005-06-24,-0.13329582374630444,0.1291007108547552,-0.017208585599618062,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2005-07-11,2005-10-13,2005-10-12,-5.28708787929374,0.1257797459882165,-0.6650085704749449,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2005-10-17,2006-05-15,2006-05-12,11.153802252494582,0.11917337822969344,1.3292362945357434,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2006-09-18,2006-09-20,2006-09-19,0.5665225880703728,0.12454808894371504,0.07055930568761243,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2006-09-22,2008-01-07,2008-01-04,48.632245400870275,0.1250025813329548,6.079156211126504,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2008-05-02,2008-05-08,2008-05-07,-5.588605274650349,0.1321274645083484,-0.7384082450775326,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2008-05-12,2008-05-22,2008-05-21,-1.6890779849959792,0.12679933917559152,-0.21417397231352986,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2008-05-27,2008-06-12,2008-06-11,-4.668482097172011,0.12499937036665461,-0.5835573227145007,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2008-06-16,2008-06-19,2008-06-18,-1.2584667785266346,0.11948480245744504,-0.15036765443151218,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2008-08-11,2008-08-20,2008-08-19,-0.4390155222824488,0.120305415806033,-0.05281594495349275,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2008-08-25,2008-08-27,2008-08-26,-5.153127773989952,0.11955429850760267,-0.6160785761394127,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2008-08-29,2008-09-03,2008-09-02,-7.797815548665055,0.11495853608661605,-0.8964254601479874,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2009-05-01,2009-05-14,2009-05-13,-10.792109768422286,0.08976111553774505,-0.9687118118193797,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2009-05-19,2010-05-21,2010-05-20,82.44624299427316,0.08094264321903555,6.673416831435362,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2010-05-25,2010-05-27,2010-05-26,10.695087943372371,0.1097501017812398,1.1737869903444285,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2010-06-01,2010-06-08,2010-06-07,-7.867056738324463,0.11795666045906314,-0.9279717404947234,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2010-06-11,2010-06-29,2010-06-28,-1.1990752612787148,0.11088332128825683,-0.13295744744516824,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2010-07-14,2010-07-19,2010-07-16,-6.663443245161094,0.10890805720899219,-0.7257026581528769,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2010-07-23,2010-08-12,2010-08-11,-6.7741468878177,0.10150180066956248,-0.6875881071136092,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2010-09-07,2011-06-16,2011-06-15,59.71113862676152,0.0949486298664967,5.669490800379453,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2011-06-22,2011-06-27,2011-06-24,-3.2296052649600338,0.12216418386751132,-0.3945420914080602,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2011-06-29,2011-08-05,2011-08-04,-9.316162339233259,0.11713158924472755,-1.0912169004562702,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2011-09-19,2011-09-22,2011-09-21,-10.276727003455,0.10654500755834127,-1.0949339562581228,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2011-10-12,2011-11-18,2011-11-17,-7.65847462718493,0.0934560941255233,-0.7157311256161268,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2011-12-01,2011-12-09,2011-12-08,-0.8399726406483232,0.0869112206103637,-0.07300304747805617,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2011-12-13,2011-12-15,2011-12-14,-7.1843771949418045,0.08634590302389059,-0.6203415365614962,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2011-12-27,2011-12-29,2011-12-28,-1.9779846947351798,0.08079407658426312,-0.15980944690893442,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2012-01-04,2012-11-01,2012-10-31,45.44413485820527,0.07823983546201654,3.5555416340196704,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2012-11-06,2012-11-08,2012-11-07,-6.508733008273515,0.0968574251554229,-0.6304191202054824,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2012-11-30,2012-12-05,2012-12-04,-1.8035374124021564,0.09090763126381969,-0.16395531405715874,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2012-12-12,2012-12-14,2012-12-13,-6.374549959559827,0.08935274567584667,-0.5695835413345279,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2012-12-19,2012-12-24,2012-12-21,-5.831482015624589,0.08347143346505569,-0.4867621630698767,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2013-01-03,2014-10-17,2014-10-16,152.7096888038567,0.07789887312793141,11.89591267353752,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2014-10-21,2015-08-24,2015-08-21,-3.2399846070176763,0.13175082874090296,-0.42687065708234767,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2015-10-16,2016-01-07,2016-01-06,-6.87312076590988,0.12226301520976003,-0.8403284687409571,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2016-03-22,2016-03-24,2016-03-23,-1.6349007264226945,0.11462346627928618,-0.18739798828509222,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2016-03-30,2016-04-28,2016-04-27,-5.382134993868338,0.11204652432098083,-0.6030495194892708,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2016-05-25,2016-06-16,2016-06-15,-4.866109460976087,0.10716106540641401,-0.5214574742224285,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2016-06-22,2016-06-27,2016-06-24,-11.576438416821745,0.10312440225243237,-1.193813291946837,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2016-07-01,2016-07-06,2016-07-05,-1.7395702404232494,0.09220646956505527,-0.16039963042986222,NDX-below-MA200/TQQQ,,,,,,
15%,component_exit,tqqq_ma200,2016-07-08,2018-10-12,2018-10-11,244.30405185829446,0.08997249232196738,21.98064443004592,NDX-below-MA200/TQQQ,,,,,,
