Date,ndx_buy_hold,baseline,ma_150,ma_200,ma_250
2023-01-18,70854.20301914444,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-19,70142.44996553629,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-20,72150.4107700619,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-23,73724.6257117841,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-24,73563.79510553344,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-25,73365.39595998485,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-26,74835.78512037457,332351.366343382,312745.0412938352,312745.0412938352,334198.7515452843
2023-01-27,75550.6430119412,336621.8102818895,316763.5001985644,316763.5001985644,338492.93850658304
2023-01-30,73972.08129707711,329588.4048611673,310145.016038201,310145.016038201,331420.43756977585
2023-01-31,75149.06327038791,334832.54027458024,315079.7844885188,315079.7844885188,336693.7227574649
2023-02-01,76770.84432963443,342058.512870977,321879.4757208153,321879.4757208153,343959.86126368394
2023-02-02,79503.35012015722,354233.4065468143,333336.13663079636,333336.13663079636,356202.4296608069
2023-02-03,78076.49078794578,347875.9229797889,327353.69970711804,327353.69970711804,349809.60772123124
2023-02-06,77400.56756437881,344864.29409010865,324519.7356582783,324519.7356582783,346781.2385501858
2023-02-07,79038.43168425039,352161.92602343025,331386.8588325729,331386.8588325729,354119.434715137
2023-02-08,77592.26025993701,345718.39591669955,325323.451507499,325323.451507499,347640.08794210275
2023-02-09,76883.05317345487,342558.4681675918,322349.93718487164,322349.93718487164,344462.59558541834
2023-02-10,76409.56538478256,340448.8062214446,320364.7303982476,320364.7303982476,342341.20698374434
2023-02-13,77635.29331404193,345910.1330614445,325503.87751446693,325503.87751446693,347832.89086681884
2023-02-14,78185.34640677103,348360.93771967024,327810.1020018002,327810.1020018002,350297.31843844225
2023-02-15,78787.68497072137,351044.704392146,330335.5453893744,330335.5453893744,352996.00295467017
2023-02-16,77263.768403927,344254.77471078245,323946.17361881165,323946.17361881165,346168.3311286136
2023-02-17,76740.29272412273,341922.3877985174,321751.38106651773,321751.38106651773,343822.97953358246
2023-02-21,74890.55446196263,333680.734021228,313995.9266717691,313995.9266717691,335535.51413467556
2023-02-22,74927.6262271872,333845.9101762247,314151.3585998497,314151.3585998497,335701.60842912795
2023-02-23,75634.72202385757,336996.43090812996,317116.0208528711,317116.0208528711,338869.64147926064
2023-02-24,74327.64734008531,331172.6572288576,311635.80870183505,311635.80870183505,333013.49607904605
2023-02-27,74874.96817541093,333611.2881001155,313930.57756967825,313930.57756967825,335465.6821951319
2023-02-28,74777.66255379132,333177.73527787125,313522.6013028403,313522.6013028403,335029.71944905684
2023-03-01,74134.65061258452,330312.7451857592,310826.6253978576,310826.6253978576,332148.80417425884
2023-03-02,74794.73916256311,333253.82144642086,313594.198924653,313594.198924653,335106.2285461664
2023-03-03,76321.9468575935,340058.4150075412,319997.36950960144,319997.36950960144,341948.64576184767
2023-03-06,76394.41377554505,340381.2970391679,320301.2037810756,320301.2037810756,342273.3225484908
2023-03-07,75461.03738845869,336222.5654047367,316387.80795028916,316387.80795028916,338091.47440793185
2023-03-08,75853.24051937729,337970.05718858796,318032.210057085,318032.210057085,339848.67970736435
2023-03-09,74490.52713938858,331898.38093833224,312318.7198364337,312318.7198364337,333743.2537580219
2023-03-10,73462.20480753109,327316.6102067655,308007.2412283689,308007.2412283689,329136.0150375339
2023-03-13,74039.0216034625,329886.6626418817,310425.6787157067,310425.6787157067,331720.35323044535
2023-03-14,75756.7421556269,337540.1011670388,317627.6184050963,317627.6184050963,339416.33375497075
2023-03-15,76076.72675563062,338965.8176271694,318969.2276603715,318969.2276603715,340849.9751273545
2023-03-16,78126.3544855594,348098.09459195356,327562.76476281096,327562.76476281096,350033.0142847911
2023-03-17,77744.39731990386,346396.25450923207,325961.3212291028,325961.3212291028,348321.7144436242
2023-03-20,78009.73677183787,347578.4952300042,327073.8180945776,327073.8180945776,349510.5267052575
2023-03-21,79120.21311607747,352526.30960153864,331729.74635230855,331729.74635230855,354485.8437365672
2023-03-22,78037.92870050111,347704.1065773551,327192.01925931557,327192.01925931557,349636.8362692129
2023-03-23,79044.39297313073,352188.48701317847,331411.8529114602,331411.8529114602,354146.1433454007
2023-03-24,79279.2429163122,353234.87933846744,332396.5154776257,332396.5154776257,355198.352091831
2023-03-27,78695.65757363122,350634.669112908,329949.6992965513,329949.6992965513,352583.68847497436
2023-03-28,78307.55282881786,348905.43800950865,328322.48061899055,328322.48061899055,350844.8453588481
2023-03-29,79769.68312023795,355420.07409921114,334452.7991760857,334452.7991760857,357395.69336081744
2023-03-30,80496.89826687945,358660.23817151657,337501.8164453518,337501.8164453518,360653.86803809006
