Date,frozen_baseline,fixed_60,fixed_80,10_sessions,20_sessions,40_sessions,primary_3x_drag
2011-12-16,43299.92458103303,42437.892032728625,43380.61392193937,42510.90567361136,42510.90567361136,42510.90567361136,42112.4606139343
2011-12-19,42856.7067557681,41958.778520742664,42889.474288283585,42030.86074066355,42030.86074066355,42030.86074066355,41637.49856791343
2011-12-20,44146.50738476911,43384.15445656987,44350.6282683543,43459.007679586975,43459.007679586975,43459.007679586975,43050.523777791546
2011-12-21,43509.82913817509,42672.54108548281,43621.152848361344,42746.010896022526,42746.010896022526,42746.010896022526,42345.07645841554
2011-12-22,43853.027925612885,43061.48299861693,44019.857505924134,43135.70893195797,43135.70893195797,43135.70893195797,42730.64823258597
2011-12-23,44255.42560197739,43506.114022354006,44475.64911406527,43581.20434095123,43581.20434095123,43581.20434095123,43171.42657733177
2011-12-27,44362.79613581503,43643.22595330958,44615.877211619016,43718.55761844977,43718.55761844977,43718.55761844977,43307.46279494192
2011-12-28,43859.025198674084,43026.68104814873,43985.25134479162,43100.92214533863,43100.92214533863,43100.92214533863,42695.77869484519
2011-12-29,44207.060496645114,43405.57545982987,44373.387873329484,43480.53235730923,43480.53235730923,43480.53235730923,43071.482690311575
2011-12-30,44066.99515160285,43254.65342393489,44218.67757698907,43329.31692132362,43329.31692132362,43329.31692132362,42921.868377283354
2012-01-03,44920.73599092811,44198.463408821335,45201.02436208896,44274.965602887656,44274.965602887656,44274.965602887656,43857.48304878332
2012-01-04,45070.66781745815,44351.50911251843,45410.763795694205,44428.26664776377,44428.26664776377,44428.26664776377,44009.390663197955
2012-01-05,45443.46604935929,44718.35888377676,45888.61908572615,44795.75131250848,44795.75131250848,44795.75131250848,44373.41063052429
2012-01-06,45582.5640922949,44855.23744399198,46075.692936604726,44932.86676344332,44932.86676344332,44932.86676344332,44509.23333758584
2012-01-09,45475.77393972125,44750.15126146235,45928.72592484705,44827.598712099745,44827.598712099745,44827.598712099745,44404.95776832579
2012-01-10,45799.43322460481,45068.64615887553,46341.52757428945,45146.64481698709,45146.64481698709,45146.64481698709,44720.99586139115
2012-01-11,45893.648449792076,45161.358062665255,46468.963505300126,45239.51717387898,45239.51717387898,45239.51717387898,44812.9926045608
2012-01-12,46082.07890016659,45346.7818702447,46710.952300823265,45425.26188766275,45425.26188766275,45425.26188766275,44996.986090900115
2012-01-13,45888.42501841618,45156.217977650216,46466.14286011419,45234.36819310674,45234.36819310674,45234.36819310674,44807.89216910787
2012-01-17,46299.72187416182,45560.95207920455,47000.68218315339,45639.80275317277,45639.80275317277,45639.80275317277,45209.50423477251
2012-01-18,46932.72437275059,46183.8542336193,47819.86120638655,46263.78294157169,46263.78294157169,46263.78294157169,45827.60144966185
2012-01-19,47237.23107592256,46483.502152643996,48225.471260744904,46563.94945029415,46563.94945029415,46563.94945029415,46124.937946066435
2012-01-20,47146.69159874055,46394.4073457167,48114.986853643466,46474.70045024199,46474.70045024199,46474.70045024199,46036.53039821552
2012-01-23,47150.56080716713,46398.21481609822,48117.489617998726,46478.51451007328,46478.51451007328,46478.51451007328,46040.30849855102
2012-01-24,47087.49270981385,46336.153048879634,48023.12538274249,46416.34533482326,46416.34533482326,46416.34533482326,45978.72546308223
2012-01-25,47700.762245427046,46939.6371043487,48827.75279393879,47020.8738180826,47020.8738180826,47020.8738180826,46577.55436626046
2012-01-26,47487.37540070107,46729.65511280852,48564.08374898294,46810.528418387,46810.528418387,46810.528418387,46369.192132757125
2012-01-27,47625.50614153003,46865.58180542836,48756.34658487908,46946.690354364015,46946.690354364015,46946.690354364015,46504.0703147348
2012-01-30,47694.18459110186,46933.16440470014,48828.05175467413,47014.38991636941,47014.38991636941,47014.38991636941,46571.13159569011
2012-01-31,47745.06468191141,46983.232640216964,48898.068439930685,47064.54480315086,47064.54480315086,47064.54480315086,46620.81361510205
