horizon_years,n_windows,qqq_pct,stock_pct,total_return_mean,total_return_median,total_return_std,total_return_p25,total_return_p75,final_value_mean,final_value_median,final_value_std,final_value_p25,final_value_p75,cagr_mean,cagr_median,cagr_std,cagr_p25,cagr_p75,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_p25,max_drawdown_p75,sharpe_ratio_mean,sharpe_ratio_median,sharpe_ratio_std,sharpe_ratio_p25,sharpe_ratio_p75
1,3774,51,49,0.250577,0.280243,0.223352,0.090534,0.393573,12505.770271,12802.432968,2233.519956,10905.340268,13935.729962,0.250812,0.280587,0.223567,0.09061,0.394312,-0.175974,-0.144247,0.080278,-0.249907,-0.108385,1.135277,1.234878,0.882652,0.502297,1.787521
1,3774,52,48,0.249327,0.279431,0.221865,0.090714,0.392106,12493.272723,12794.313689,2218.649855,10907.14182,13921.063246,0.24956,0.279848,0.222078,0.090784,0.392422,-0.175255,-0.143834,0.080015,-0.246248,-0.108093,1.135742,1.231883,0.881124,0.504539,1.783554
1,3774,53,47,0.248078,0.278242,0.220388,0.090457,0.389845,12480.775175,12782.423035,2203.883291,10904.571525,13898.447103,0.248309,0.278368,0.2206,0.090365,0.389973,-0.174549,-0.143406,0.079764,-0.244273,-0.107801,1.136169,1.23212,0.879577,0.505058,1.786152
1,3774,54,46,0.246828,0.277559,0.218922,0.090195,0.387362,12468.277626,12775.585508,2189.222358,10901.951114,13873.617563,0.247058,0.277796,0.219132,0.090192,0.387574,-0.173853,-0.143109,0.079526,-0.24335,-0.10751,1.136554,1.230636,0.878012,0.505313,1.788445
1,3774,55,45,0.245578,0.275806,0.217467,0.090417,0.385754,12455.780078,12758.063136,2174.669193,10904.168097,13857.538311,0.245807,0.276127,0.217675,0.090288,0.385868,-0.173164,-0.142878,0.079298,-0.242499,-0.107219,1.136897,1.228982,0.876427,0.506016,1.793973
1,3774,56,44,0.244328,0.274728,0.216023,0.090287,0.383522,12443.28253,12747.280902,2160.225973,10902.865213,13835.218043,0.244556,0.27494,0.216229,0.090351,0.383607,-0.172479,-0.141649,0.079082,-0.241915,-0.106923,1.137194,1.228563,0.874824,0.507004,1.793709
1,3774,57,43,0.243078,0.273333,0.214589,0.090176,0.380224,12430.784981,12733.328886,2145.894919,10901.763715,13802.236148,0.243305,0.273881,0.214794,0.090241,0.380753,-0.171798,-0.141357,0.078876,-0.241389,-0.106598,1.137444,1.227216,0.873201,0.507433,1.792852
1,3774,58,42,0.241829,0.27214,0.213168,0.090128,0.377914,12418.287433,12721.397437,2131.678292,10901.281901,13779.136175,0.242053,0.272556,0.213371,0.090193,0.377755,-0.171124,-0.141737,0.078679,-0.240864,-0.106292,1.137643,1.225761,0.87156,0.506444,1.790327
1,3774,59,41,0.240579,0.270825,0.211758,0.090021,0.375407,12405.789884,12708.246333,2117.578399,10900.212456,13754.065829,0.240802,0.271214,0.211959,0.090086,0.375682,-0.17046,-0.142107,0.078487,-0.240322,-0.106003,1.137791,1.224853,0.869899,0.507479,1.790403
1,3774,60,40,0.239329,0.269453,0.21036,0.08966,0.372497,12393.292336,12694.531846,2103.597585,10896.597772,13724.972755,0.239551,0.269699,0.21056,0.089724,0.372803,-0.169805,-0.14255,0.078308,-0.239741,-0.105729,1.137884,1.224175,0.868219,0.506415,1.788313
1,3774,61,39,0.238079,0.267909,0.208974,0.089185,0.370123,12380.794788,12679.088988,2089.738241,10891.854079,13701.232471,0.2383,0.267923,0.209172,0.089249,0.370973,-0.169154,-0.142977,0.078137,-0.239215,-0.105447,1.137919,1.223532,0.866521,0.507989,1.788083
1,3774,62,38,0.23683,0.266347,0.2076,0.088754,0.368002,12368.297239,12663.469308,2076.002799,10887.537547,13680.024936,0.237049,0.266652,0.207797,0.088906,0.368547,-0.16851,-0.143413,0.077975,-0.238689,-0.105151,1.137895,1.220688,0.864803,0.506611,1.7885
1,3774,63,37,0.23558,0.264632,0.206239,0.088499,0.365691,12355.799691,12646.316421,2062.393736,10884.993375,13656.909107,0.235798,0.265004,0.206435,0.088626,0.366224,-0.167878,-0.143859,0.077815,-0.23816,-0.104769,1.137808,1.219425,0.863066,0.506301,1.793041
1,3774,64,36,0.23433,0.263092,0.204891,0.087972,0.36341,12343.302143,12630.917306,2048.91357,10879.717111,13634.103455,0.234547,0.263294,0.205085,0.088108,0.363849,-0.167255,-0.144275,0.077663,-0.237634,-0.104457,1.137656,1.216189,0.86131,0.503579,1.792986
1,3774,65,35,0.23308,0.261923,0.203556,0.087254,0.360877,12330.804594,12619.234648,2035.56486,10872.538801,13608.774973,0.233295,0.262219,0.203749,0.087316,0.361437,-0.166641,-0.144723,0.077524,-0.237108,-0.104171,1.137436,1.209954,0.859535,0.503824,1.789669
1,3774,66,34,0.231831,0.260411,0.202235,0.086666,0.358605,12318.307046,12604.108349,2022.350211,10866.655452,13586.052257,0.232044,0.260443,0.202426,0.086708,0.35889,-0.166036,-0.145169,0.07739,-0.236582,-0.103861,1.137146,1.205819,0.857741,0.503967,1.790473
1,3774,67,33,0.230581,0.258974,0.200927,0.086449,0.356796,12305.809497,12589.735877,2009.272267,10864.485312,13567.955477,0.230793,0.259279,0.201116,0.08651,0.357074,-0.16544,-0.14561,0.07726,-0.236056,-0.103525,1.136781,1.204854,0.855929,0.501993,1.791707
1,3774,68,32,0.229331,0.258013,0.199633,0.086371,0.354366,12293.311949,12580.133699,1996.333716,10863.710622,13543.663244,0.229542,0.258288,0.199821,0.086557,0.354617,-0.164845,-0.14604,0.077142,-0.235529,-0.103217,1.136341,1.204916,0.854097,0.50186,1.791593
1,3774,69,31,0.228081,0.256041,0.198354,0.085838,0.352157,12280.814401,12560.408778,1983.537284,10858.384061,13521.571385,0.228291,0.256174,0.19854,0.085988,0.352401,-0.16425,-0.146467,0.077037,-0.234964,-0.102938,1.135821,1.204762,0.852247,0.499843,1.791539
1,3774,70,30,0.226832,0.254347,0.197089,0.085631,0.349897,12268.316852,12543.469622,1970.88574,10856.310424,13498.970635,0.22704,0.25437,0.197273,0.08606,0.350174,-0.163656,-0.146919,0.076945,-0.234394,-0.102656,1.135219,1.203419,0.850378,0.501144,1.790616
1,3774,71,29,0.225582,0.252627,0.195838,0.084875,0.34787,12255.819304,12526.26861,1958.381892,10848.754964,13478.697335,0.225789,0.252909,0.196021,0.085191,0.348352,-0.163069,-0.147276,0.076863,-0.233876,-0.10237,1.134532,1.204151,0.84849,0.501219,1.789979
1,3774,72,28,0.224332,0.250685,0.194603,0.084761,0.346118,12243.321756,12506.846499,1946.028588,10847.614474,13461.180265,0.224538,0.251009,0.194785,0.084952,0.34637,-0.162497,-0.147575,0.07679,-0.233395,-0.102087,1.133756,1.199961,0.846585,0.500121,1.786828
1,3774,73,27,0.223082,0.249959,0.193383,0.084217,0.343695,12230.824207,12499.586279,1933.828711,10842.171064,13436.953035,0.223286,0.250108,0.193563,0.084309,0.344087,-0.161944,-0.148007,0.076727,-0.232869,-0.101806,1.13289,1.196001,0.844662,0.503067,1.783669
1,3774,74,26,0.221833,0.248839,0.192179,0.084056,0.341019,12218.326659,12488.388032,1921.785185,10840.558411,13410.187179,0.222035,0.248958,0.192357,0.084296,0.341338,-0.161423,-0.148471,0.076665,-0.232342,-0.101526,1.131929,1.192529,0.842721,0.502746,1.780078
1,3774,75,25,0.220583,0.246941,0.19099,0.08459,0.338773,12205.82911,12469.408556,1909.900966,10845.896788,13387.730283,0.220784,0.247189,0.191168,0.08465,0.338967,-0.160961,-0.148936,0.07659,-0.231815,-0.101246,1.130871,1.191708,0.840763,0.505886,1.778996
1,3774,76,24,0.219333,0.244728,0.189818,0.085162,0.336341,12193.331562,12447.277873,1898.179048,10851.616815,13363.408496,0.219533,0.24509,0.189994,0.085222,0.336645,-0.160546,-0.1494,0.076504,-0.231289,-0.100965,1.129714,1.192144,0.838788,0.511694,1.777446
1,3774,77,23,0.218083,0.243772,0.188662,0.085321,0.33391,12180.834014,12437.720921,1886.622454,10853.208996,13339.097981,0.218282,0.244014,0.188837,0.085436,0.334026,-0.16016,-0.149523,0.076406,-0.230762,-0.100839,1.128453,1.190909,0.836796,0.514825,1.775441
1,3774,78,22,0.216834,0.242139,0.187523,0.085353,0.3309,12168.336465,12421.389473,1875.234243,10853.531044,13309.001981,0.217031,0.241844,0.187697,0.085414,0.331141,-0.159809,-0.14828,0.07628,-0.230235,-0.100705,1.127087,1.18898,0.834789,0.517445,1.776229
1,3774,79,21,0.215584,0.2402,0.186402,0.085877,0.329133,12155.838917,12401.995221,1864.017499,10858.766842,13291.334584,0.21578,0.240505,0.186574,0.085938,0.329142,-0.159483,-0.146946,0.076135,-0.229708,-0.100738,1.125612,1.184893,0.832767,0.51939,1.773388
1,3774,80,20,0.214334,0.239177,0.185298,0.085948,0.326261,12143.341369,12391.768514,1852.975338,10859.478482,13262.613077,0.214529,0.239328,0.185468,0.086005,0.326855,-0.159162,-0.145662,0.075991,-0.22918,-0.100824,1.124026,1.181078,0.83073,0.522685,1.771438
1,3774,81,19,0.213084,0.237983,0.184211,0.086605,0.324638,12130.84382,12379.832963,1842.110897,10866.047289,13246.375584,0.213278,0.237953,0.184381,0.086642,0.324978,-0.158847,-0.144682,0.075845,-0.228613,-0.100914,1.122326,1.17468,0.82868,0.523583,1.77085
1,3774,82,18,0.211835,0.236906,0.183143,0.087241,0.322644,12118.346272,12369.059495,1831.427341,10872.406886,13226.436691,0.212027,0.23692,0.183311,0.087169,0.322928,-0.158538,-0.14439,0.075701,-0.22805,-0.100976,1.120508,1.170309,0.826617,0.527142,1.766277
1,3774,83,17,0.210585,0.235092,0.182093,0.088029,0.320074,12105.848723,12350.918965,1820.927853,10880.29179,13200.738398,0.210776,0.235118,0.18226,0.087965,0.32047,-0.158242,-0.143145,0.075574,-0.227526,-0.101038,1.118572,1.167266,0.824542,0.52789,1.757633
1,3774,84,16,0.209335,0.233055,0.181062,0.08871,0.318222,12093.351175,12330.546105,1810.615635,10887.097267,13182.215253,0.209525,0.233146,0.181227,0.088851,0.318767,-0.157956,-0.141814,0.075459,-0.227001,-0.1011,1.116514,1.161694,0.822456,0.53015,1.75123
1,3774,85,15,0.208085,0.230869,0.180049,0.088712,0.31648,12080.853627,12308.693938,1800.493905,10887.116943,13164.804626,0.208273,0.231171,0.180214,0.088958,0.31682,-0.157679,-0.140403,0.075352,-0.226477,-0.101163,1.114332,1.156602,0.820361,0.53212,1.743355
1,3774,86,14,0.206836,0.229158,0.179057,0.089378,0.314751,12068.356078,12291.580677,1790.565893,10893.782422,13147.506314,0.207022,0.229416,0.17922,0.089263,0.315115,-0.157409,-0.138979,0.07525,-0.225953,-0.101224,1.112023,1.149926,0.818258,0.530671,1.738507
1,3774,87,13,0.205586,0.227623,0.178083,0.0902,0.312754,12055.85853,12276.227246,1780.83484,10901.998992,13127.542287,0.205771,0.227982,0.178246,0.090159,0.313073,-0.157142,-0.137568,0.07515,-0.225429,-0.101284,1.109586,1.148605,0.816148,0.534336,1.732161
1,3774,88,12,0.204336,0.226245,0.17713,0.091164,0.311418,12043.360982,12262.454028,1771.30399,10911.644642,13114.176187,0.20452,0.226551,0.177291,0.091119,0.311907,-0.156877,-0.136523,0.075055,-0.224905,-0.101418,1.107018,1.143418,0.814032,0.53371,1.726494
1,3774,89,11,0.203086,0.224692,0.176198,0.091231,0.310141,12030.863433,12246.919762,1761.976594,10912.309531,13101.413435,0.203269,0.224802,0.176358,0.091506,0.310635,-0.156618,-0.135719,0.074963,-0.22438,-0.10162,1.104318,1.138127,0.811913,0.533754,1.716813
1,3774,90,10,0.201837,0.222592,0.175286,0.091392,0.308938,12018.365885,12225.920322,1752.855899,10913.923467,13089.38226,0.202018,0.223079,0.175444,0.091458,0.309184,-0.156381,-0.134966,0.074875,-0.223856,-0.101811,1.101484,1.132698,0.809791,0.535934,1.708911
