"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/1993","354.85","353.23","356.52","353.23","","0.46%"
"05/07/1993","353.23","351.71","354.25","350.94","","0.43%"
"05/06/1993","351.71","355.35","356.76","351.01","","-1.02%"
"05/05/1993","355.35","353.28","357.13","350.87","","0.59%"
"05/04/1993","353.28","344.97","353.73","344.97","","2.41%"
"05/03/1993","344.97","339.94","345.27","339.94","","1.48%"
"04/30/1993","339.94","338.98","344.38","338.98","","0.28%"
"04/29/1993","338.98","339.66","339.66","334.94","","-0.20%"
"04/28/1993","339.66","334.60","339.93","334.60","","1.51%"
"04/27/1993","334.60","327.28","334.82","327.28","","2.24%"
"04/26/1993","327.28","333.66","334.45","326.56","","-1.91%"
"04/23/1993","333.66","338.48","338.94","332.81","","-1.42%"
"04/22/1993","338.48","340.19","343.77","337.84","","-0.50%"
"04/21/1993","340.19","339.06","341.42","336.85","","0.33%"
"04/20/1993","339.06","337.45","339.57","334.62","","0.48%"
"04/19/1993","337.45","340.65","341.39","332.92","","-0.94%"
"04/16/1993","340.65","343.89","345.24","340.38","","-0.94%"
"04/15/1993","343.89","346.49","346.49","343.07","","-0.75%"
"04/14/1993","346.49","345.87","347.07","343.78","","0.18%"
"04/13/1993","345.87","349.00","351.82","345.71","","-0.90%"
"04/12/1993","349.00","341.56","349.73","341.56","","2.18%"
"04/08/1993","341.56","345.19","345.24","340.44","","-1.05%"
"04/07/1993","345.19","340.56","345.43","339.52","","1.36%"
"04/06/1993","340.56","344.70","347.73","340.06","","-1.20%"
"04/05/1993","344.70","341.18","345.18","339.18","","1.03%"
"04/02/1993","341.18","354.33","354.33","341.14","","-3.71%"
"04/01/1993","354.33","359.42","360.75","353.48","","-1.42%"
"03/31/1993","359.42","357.72","363.18","357.72","","0.48%"
"03/30/1993","357.72","351.40","357.72","351.40","","1.80%"
"03/29/1993","351.40","352.64","355.08","351.01","","-0.35%"
"03/26/1993","352.64","354.38","356.40","351.38","","-0.49%"
"03/25/1993","354.38","348.50","355.02","348.50","","1.69%"
"03/24/1993","348.50","348.13","350.04","345.43","","0.11%"
"03/23/1993","348.13","349.42","353.00","347.81","","-0.37%"
"03/22/1993","349.42","351.55","351.55","346.20","","-0.61%"
"03/19/1993","351.56","355.50","357.92","351.46","","-1.11%"
"03/18/1993","355.50","355.65","358.62","355.32","","-0.04%"
"03/17/1993","355.65","363.61","363.61","354.87","","-2.19%"
